l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,0.073028035,-0.22192533,-0.008628566,0.09851317,-0.47371432,-0.046572637,0.06394391,-0.69582015,-0.08276532,0.005451806,-0.845257,-0.124648556,0.23613912,-0.5713866,-0.12301441,0.027285393,-0.8458045,-0.19490537,-0.11720124,-0.9288915,-0.22345454,-0.21174343,-0.9486205,-0.23512505,0.19250852,-0.5182233,-0.14465778,-0.05057565,-0.80666876,-0.20500533,-0.19597194,-0.79446054,-0.20452836,-0.27100757,-0.7401777,-0.20613843,0.11167357,-0.45842147,-0.16309828,-0.13507797,-0.6990041,-0.21457551,-0.23673785,-0.6343254,-0.1961389,-0.2658036,-0.5458824,-0.18410543,0.005902891,-0.39826605,-0.18079716,-0.19069771,-0.5762966,-0.22861113,-0.25704876,-0.544318,-0.22884192,-0.2682441,-0.4929887,-0.22457142,G
0.0,0.0,0.0,-0.12327592,-0.33073783,0.003003659,-0.11095339,-0.547404,-0.026982188,-0.0949202,-0.71393454,-0.06416942,-0.091498345,-0.83476245,-0.105543666,0.23429607,-0.61185557,-0.054395758,0.0438494,-0.86394066,-0.1277768,-0.09921825,-0.9405286,-0.17575243,-0.20140997,-0.9587321,-0.20066577,0.2310204,-0.5680429,-0.08604237,-0.018765045,-0.83614725,-0.16370353,-0.18274015,-0.7773976,-0.18831769,-0.2671971,-0.6805477,-0.1967383,0.17846425,-0.51476514,-0.11759221,-0.09553418,-0.72988814,-0.18694933,-0.21074976,-0.6111297,-0.18131222,-0.24369884,-0.48246473,-0.1668177,0.08842604,-0.45653284,-0.14880592,-0.13025194,-0.61616564,-0.2025518,-0.2103295,-0.54451257,-0.20149466,-0.22431381,-0.45447537,-0.18959036,G
0.0,0.0,0.0,0.0988477,-0.20859185,-0.0010564593,0.11970374,-0.4747266,-0.04573143,0.05507407,-0.70038486,-0.085710995,-0.020752713,-0.84044063,-0.1319814,0.207312,-0.54506266,-0.16463217,0.0032118117,-0.84312785,-0.21778992,-0.13625975,-0.92499346,-0.22368725,-0.22703092,-0.9482604,-0.22194393,0.113050826,-0.47208878,-0.19268146,-0.10897317,-0.79983354,-0.23202045,-0.21571855,-0.8178726,-0.21150835,-0.2617148,-0.78331345,-0.20315216,-0.0015903547,-0.40689564,-0.21084674,-0.2028727,-0.70084655,-0.2371629,-0.2437108,-0.6594004,-0.19131365,-0.22918145,-0.5866768,-0.16676126,-0.12340092,-0.34716386,-0.22725832,-0.26258892,-0.5877588,-0.25758016,-0.27493387,-0.56352884,-0.23019837,-0.24537702,-0.5123681,-0.20821969,G
0.0,0.0,0.0,-0.103997156,-0.28566945,0.0018625996,-0.1052569,-0.49985063,-0.02771322,-0.10822226,-0.65930015,-0.06226626,-0.13237622,-0.77062345,-0.10021648,0.22285025,-0.54625666,-0.04113976,0.056491997,-0.8043634,-0.10237885,-0.062065184,-0.9112211,-0.14759982,-0.15193805,-0.972744,-0.17516802,0.21275121,-0.525832,-0.06892311,-0.0024548026,-0.81148505,-0.13557692,-0.14766338,-0.7538807,-0.15651996,-0.21591948,-0.66435766,-0.16443639,0.1550286,-0.49871188,-0.096852414,-0.07216695,-0.74263877,-0.15518929,-0.17513414,-0.6350091,-0.1485662,-0.19822836,-0.5197615,-0.13695131,0.06141721,-0.4675226,-0.124809094,-0.12698792,-0.6323657,-0.1747855,-0.19909146,-0.5664238,-0.17631547,-0.20576043,-0.48550236,-0.16886584,G
0.0,0.0,0.0,-0.07108877,-0.28491205,-0.017444385,-0.07365847,-0.54171073,-0.055573527,-0.08344808,-0.73945624,-0.09228176,-0.09292639,-0.8832558,-0.13403022,0.13132231,-0.7727446,-0.13190787,-0.16511163,-0.92642695,-0.2088266,-0.34231648,-0.9079318,-0.24182501,-0.44764936,-0.8466521,-0.25354958,0.11237041,-0.6755906,-0.15466356,-0.23752092,-0.8011662,-0.22153315,-0.40101546,-0.7221562,-0.23362362,-0.4854018,-0.6229004,-0.24229957,0.0462644,-0.5597955,-0.17596859,-0.2926298,-0.6594929,-0.24006946,-0.41979638,-0.578643,-0.24015892,-0.4780506,-0.4887378,-0.23662634,-0.05449117,-0.43104446,-0.19636531,-0.31190756,-0.5302018,-0.25161612,-0.39556593,-0.49647853,-0.25830185,-0.4397742,-0.4499773,-0.25445506,G
0.0,0.0,0.0,0.08771953,-0.24110682,0.0060447953,0.05618363,-0.5103038,-0.03042729,-0.07019532,-0.6985271,-0.06057268,-0.19877787,-0.7908131,-0.09630936,0.11019153,-0.5442706,-0.14371507,-0.10930958,-0.8253425,-0.19421132,-0.23793948,-0.89764,-0.20925768,-0.31981444,-0.92392236,-0.20996739,-0.0023230873,-0.44264987,-0.16589059,-0.21744193,-0.7490836,-0.1966742,-0.31265166,-0.8242078,-0.18418111,-0.3591172,-0.8484559,-0.17797798,-0.12557463,-0.36223826,-0.17808093,-0.296618,-0.65540725,-0.19420403,-0.3480067,-0.7142397,-0.15641226,-0.36361188,-0.7231464,-0.1323805,-0.24175584,-0.29974213,-0.18693732,-0.3446388,-0.55383545,-0.19610992,-0.35973543,-0.60942876,-0.16121127,-0.35752115,-0.6271654,-0.13309835,G
0.0,0.0,0.0,0.13440031,-0.18983889,0.027323749,0.18839334,-0.43100232,-0.006877351,0.122189604,-0.6495242,-0.04162932,0.025646023,-0.7714274,-0.083314426,0.29461575,-0.49408963,-0.12510768,0.13558176,-0.82564354,-0.16631296,0.011527625,-0.9336809,-0.16973001,-0.07289871,-0.98308825,-0.16799808,0.20698312,-0.46878776,-0.16292019,0.05156934,-0.8325762,-0.18797287,-0.0425597,-0.86553174,-0.16625805,-0.090295695,-0.8517123,-0.15837651,0.097801894,-0.44838846,-0.18801752,-0.051361118,-0.7785517,-0.19557154,-0.09767409,-0.7287875,-0.14733993,-0.09603183,-0.6519239,-0.124924265,-0.022922868,-0.42492437,-0.20989013,-0.123015225,-0.6854211,-0.2219666,-0.14007126,-0.64937186,-0.18692432,-0.12472519,-0.59315777,-0.16185668,G
0.0,0.0,0.0,0.10875415,-0.21048415,0.004937242,0.1382957,-0.46833745,-0.029449975,0.06379655,-0.6830962,-0.064656235,-0.042583335,-0.8034345,-0.10697924,0.27322263,-0.5691728,-0.10395721,0.06608369,-0.8611672,-0.16978846,-0.08191374,-0.9425037,-0.19897507,-0.17760427,-0.96108437,-0.21159743,0.21128772,-0.53381467,-0.13088587,-0.017455395,-0.8415015,-0.18448704,-0.16450524,-0.83088,-0.185389,-0.24400485,-0.7750043,-0.18657498,0.113931105,-0.48969418,-0.15301259,-0.11431794,-0.75512016,-0.19323863,-0.22791806,-0.70900154,-0.1775836,-0.27288547,-0.6337597,-0.16811156,-0.0066694617,-0.44238,-0.17302711,-0.18243116,-0.6328745,-0.2088321,-0.25180578,-0.61248755,-0.20543249,-0.2733988,-0.574794,-0.19904931,G
0.0,0.0,0.0,0.107029766,-0.21471126,0.005377935,0.12922926,-0.4652883,-0.029412335,0.048966896,-0.6741679,-0.06678106,-0.058244906,-0.789295,-0.11042528,0.2508676,-0.5610821,-0.09149909,0.049274642,-0.8466228,-0.16295847,-0.097183324,-0.9291555,-0.1997785,-0.18603402,-0.9577295,-0.21942082,0.19808654,-0.54377514,-0.12204508,-0.03042719,-0.8348339,-0.18727863,-0.15473633,-0.7619533,-0.19058199,-0.20174083,-0.660509,-0.1897017,0.11035262,-0.5095041,-0.14923494,-0.13542107,-0.7496454,-0.19880633,-0.21113716,-0.6178472,-0.17669128,-0.20531492,-0.4911567,-0.160457,0.0033642363,-0.46516055,-0.17553957,-0.19190882,-0.6165771,-0.21991079,-0.23608524,-0.5338112,-0.21520345,-0.21627145,-0.45436388,-0.20709753,G
0.0,0.0,0.0,0.06667422,-0.26235124,0.017176555,0.050411966,-0.5264973,-0.01022032,-0.049749505,-0.7298208,-0.043408975,-0.16867292,-0.83859146,-0.08258338,0.20944028,-0.6292219,-0.066915184,-0.02141769,-0.89181244,-0.1344299,-0.17687164,-0.9394076,-0.17236155,-0.27546784,-0.9418388,-0.19250228,0.16536513,-0.61849916,-0.09906462,-0.10402744,-0.873306,-0.16183968,-0.238144,-0.7775982,-0.17240621,-0.2951338,-0.664623,-0.17711073,0.08362273,-0.58562815,-0.12733756,-0.19316047,-0.7784565,-0.17314795,-0.27294573,-0.6309222,-0.16070205,-0.27470982,-0.49796376,-0.15190707,-0.025678672,-0.5382351,-0.15387858,-0.24172826,-0.6408539,-0.19637896,-0.2888354,-0.5465009,-0.1987517,-0.27661029,-0.46473804,-0.19588612,G
0.0,0.0,0.0,0.06980394,-0.23826878,-0.010344661,0.07056716,-0.49317932,-0.058282502,-0.021148253,-0.7064233,-0.10615601,-0.13929592,-0.82781434,-0.15914664,0.24660783,-0.61376095,-0.11705147,0.013481399,-0.8776273,-0.18794937,-0.14576876,-0.93544316,-0.2219114,-0.24566697,-0.9392369,-0.23975377,0.19910465,-0.5773472,-0.14052078,-0.0848827,-0.8310226,-0.20427357,-0.22688287,-0.7614424,-0.20871352,-0.2892913,-0.67183656,-0.21269031,0.11301368,-0.52511805,-0.16031723,-0.17381868,-0.7207415,-0.20753005,-0.25681788,-0.6001142,-0.18978582,-0.26475698,-0.48143476,-0.17992635,0.0029996475,-0.4689596,-0.18053499,-0.21857786,-0.5976081,-0.22405098,-0.27428076,-0.5243867,-0.22273493,-0.27183428,-0.44934246,-0.21829373,G
0.0,0.0,0.0,-0.027033607,-0.28873935,-0.016406165,-0.018803626,-0.5409006,-0.05830145,-0.04640626,-0.74989134,-0.1016923,-0.1069205,-0.8851551,-0.14823881,0.27687627,-0.5596984,-0.0787974,0.08130922,-0.856935,-0.15872276,-0.062056888,-0.9383863,-0.21174255,-0.15161018,-0.95824146,-0.24246164,0.24694507,-0.52992,-0.10178269,0.02079888,-0.8486377,-0.17922902,-0.12391029,-0.793829,-0.19891065,-0.1874399,-0.70331025,-0.20669702,0.16864341,-0.49734387,-0.12594499,-0.07655214,-0.7658299,-0.19467026,-0.17920025,-0.6529814,-0.18447138,-0.1998167,-0.530762,-0.1695488,0.058945294,-0.46319866,-0.15121983,-0.14000912,-0.64775383,-0.21235187,-0.20961224,-0.58764184,-0.21581605,-0.21574242,-0.5127277,-0.20803854,G
0.0,0.0,0.0,0.15068868,-0.16855529,0.028699517,0.22609948,-0.4055,0.000757374,0.17660254,-0.62586826,-0.028279169,0.085976005,-0.7528849,-0.06476614,0.32842913,-0.45158267,-0.10840047,0.19315356,-0.78967637,-0.14671636,0.08433733,-0.9167429,-0.15280996,0.009986648,-0.9879737,-0.154299,0.23950173,-0.4401223,-0.14660625,0.10385179,-0.8055116,-0.16724433,0.00841944,-0.8255355,-0.14670877,-0.039837226,-0.79763293,-0.14037922,0.12985864,-0.4308493,-0.17345153,-0.0013042252,-0.7624658,-0.1782386,-0.05318771,-0.69898903,-0.13484237,-0.0540927,-0.60998917,-0.116865836,0.007340128,-0.41687602,-0.19728082,-0.08027372,-0.66300607,-0.20728408,-0.100846276,-0.6119803,-0.17621568,-0.08806851,-0.5403301,-0.15549229,G
0.0,0.0,0.0,-0.0421115,-0.27348337,-0.0065517174,-0.036606252,-0.5356077,-0.047390267,-0.043739766,-0.74778086,-0.09038304,-0.06892897,-0.9154158,-0.1396233,0.100319214,-0.7564671,-0.1173208,-0.19382428,-0.90880334,-0.19806199,-0.36817324,-0.8993514,-0.23582934,-0.47388622,-0.8435998,-0.25048125,0.08243996,-0.6735097,-0.14666425,-0.25418052,-0.82277,-0.21486531,-0.41135693,-0.7432137,-0.22422527,-0.49132955,-0.639522,-0.23076981,0.020795139,-0.56440985,-0.17417967,-0.3065092,-0.6752566,-0.23516397,-0.41393575,-0.5706017,-0.22146617,-0.4471407,-0.45875093,-0.20964177,-0.07550153,-0.43811378,-0.20068324,-0.33169654,-0.5338559,-0.25499627,-0.4035105,-0.47020411,-0.2537646,-0.42160517,-0.40132317,-0.24485284,G
0.0,0.0,0.0,-0.23295303,-0.10134593,-0.0024385194,-0.33969775,-0.32962638,-0.018313818,-0.38874224,-0.53556824,-0.05410787,-0.4013194,-0.68272644,-0.07613241,-0.17566495,-0.7045457,0.017038556,-0.22421773,-0.9716965,-0.074379906,-0.31727007,-0.91206396,-0.11202336,-0.37030604,-0.80451703,-0.12440821,-0.11477005,-0.7107655,-0.02169283,-0.3649313,-0.6132791,-0.12732211,-0.34185642,-0.4206823,-0.13258205,-0.25270402,-0.38506106,-0.116275415,-0.08644874,-0.64991695,-0.07416117,-0.35081482,-0.48402366,-0.16385743,-0.292612,-0.3103401,-0.12162074,-0.20644204,-0.30769873,-0.078700125,-0.08808905,-0.5553227,-0.1323654,-0.29642373,-0.3970896,-0.18605927,-0.2472478,-0.26967877,-0.1611283,-0.16669875,-0.27955765,-0.12858306,G
0.0,0.0,0.0,-0.19278923,-0.07768715,-0.01955471,-0.30910376,-0.3306551,-0.033664916,-0.32354593,-0.56040764,-0.064484745,-0.27731538,-0.70640135,-0.0842039,-0.16448995,-0.6728192,0.015968135,-0.17844695,-0.9576041,-0.07471472,-0.25153932,-0.96117353,-0.11346105,-0.29904848,-0.9075282,-0.12853643,-0.07455083,-0.6874904,-0.015419779,-0.27216622,-0.6340129,-0.12606946,-0.27233565,-0.43237305,-0.13298388,-0.20232932,-0.37801498,-0.11282423,-0.0073926244,-0.63693863,-0.06290923,-0.21217987,-0.50546664,-0.15905967,-0.18621866,-0.31791162,-0.115159355,-0.12031157,-0.30495495,-0.06667555,0.035981335,-0.5544036,-0.117907874,-0.13686591,-0.41662067,-0.17312141,-0.1113957,-0.28422707,-0.14742592,-0.04419479,-0.29820278,-0.113960624,G
0.0,0.0,0.0,-0.17024356,-0.16691157,0.01847617,-0.2639097,-0.38498783,0.006034835,-0.3334123,-0.54533404,-0.022806434,-0.38151366,-0.64043814,-0.041781478,-0.12231969,-0.71194965,-0.00079057063,-0.19733031,-0.9780458,-0.06698569,-0.3042159,-0.9369691,-0.08976266,-0.36526722,-0.8177392,-0.093487665,-0.10316682,-0.6866961,-0.037736323,-0.3800403,-0.5977204,-0.10464955,-0.38598964,-0.44405112,-0.105153896,-0.3204461,-0.39857438,-0.09895302,-0.12052214,-0.597769,-0.080052525,-0.38317022,-0.45894513,-0.13057184,-0.34864572,-0.32299012,-0.10101793,-0.27922028,-0.31128415,-0.07868495,-0.16015005,-0.4845914,-0.12478552,-0.35126325,-0.3631792,-0.15810606,-0.32705107,-0.24631497,-0.14041564,-0.26946965,-0.232703,-0.119131565,G
