l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.17691334,-0.10675572,-0.0041362313,-0.27859494,-0.23745859,-0.027416514,-0.3583639,-0.34681222,-0.05984865,-0.41370726,-0.4185512,-0.09193613,-0.15333961,-0.53271455,-0.007744153,-0.22050345,-0.71268713,-0.054227855,-0.25680178,-0.8405886,-0.08293583,-0.28489348,-0.9527518,-0.105354674,-0.13176274,-0.51232886,-0.03450226,-0.3634778,-0.47429457,-0.11596613,-0.37733138,-0.3299004,-0.13284767,-0.33667535,-0.2522201,-0.12843773,-0.13702533,-0.4477675,-0.06388896,-0.34699264,-0.34979782,-0.13772786,-0.32484934,-0.22891454,-0.12109856,-0.27182728,-0.18538876,-0.09266481,-0.15324858,-0.36057618,-0.09501378,-0.31250182,-0.27374646,-0.14561057,-0.29440373,-0.179093,-0.13606545,-0.24540862,-0.1521464,-0.11454557,I
0.0,0.0,0.0,-0.19233876,-0.088067435,-0.0060418425,-0.29616305,-0.21868365,-0.029549709,-0.36858332,-0.32317868,-0.06359674,-0.41966033,-0.41129133,-0.098073095,-0.17247419,-0.5377429,-0.006809374,-0.23147935,-0.71287674,-0.057779636,-0.2646614,-0.83784086,-0.09153373,-0.28974056,-0.94987726,-0.11740376,-0.12834275,-0.5270944,-0.037009418,-0.35065752,-0.47533947,-0.1247041,-0.3679986,-0.30799267,-0.14413749,-0.32891786,-0.21607384,-0.13878979,-0.11170093,-0.46423176,-0.07090152,-0.32164326,-0.34969756,-0.15135302,-0.297422,-0.21155506,-0.13106711,-0.24080408,-0.15673788,-0.097407065,-0.11040734,-0.37504536,-0.10683791,-0.27224973,-0.2796647,-0.16109145,-0.25170377,-0.17951994,-0.14678565,-0.19978994,-0.1473239,-0.12016853,I
0.0,0.0,0.0,-0.15981878,-0.119074404,0.0070406348,-0.25709653,-0.25738955,-0.010517733,-0.3359151,-0.35869434,-0.0384465,-0.39457944,-0.41000554,-0.06729326,-0.1456158,-0.5240144,-0.008595798,-0.22270414,-0.7111361,-0.04971061,-0.2643596,-0.83974904,-0.072393715,-0.29692918,-0.95057416,-0.090784974,-0.1310995,-0.50151724,-0.037985515,-0.36397582,-0.45749873,-0.1120386,-0.37575546,-0.31599712,-0.12246222,-0.33125788,-0.23904425,-0.115760155,-0.14163822,-0.43618658,-0.06842501,-0.34953544,-0.3369155,-0.13376278,-0.32666764,-0.21894616,-0.115895644,-0.27086473,-0.17638871,-0.08966476,-0.16056362,-0.34978065,-0.09963862,-0.31933558,-0.2679275,-0.14383832,-0.30378813,-0.17321612,-0.13380039,-0.25480425,-0.14346606,-0.114159,I
0.0,0.0,0.0,-0.03570419,-0.19406244,0.014759301,-0.11767352,-0.36436105,0.007911097,-0.21979186,-0.45182505,-0.0068589835,-0.30714563,-0.45323774,-0.02448081,-0.13104731,-0.5271836,-0.011347578,-0.21906568,-0.720825,-0.04369182,-0.2678062,-0.84433925,-0.057004828,-0.3044015,-0.9500488,-0.06889827,-0.14985503,-0.49670452,-0.035891764,-0.36822957,-0.4647736,-0.092760056,-0.36542907,-0.34474924,-0.09169823,-0.31621408,-0.2950472,-0.08119268,-0.18268481,-0.41994834,-0.059756353,-0.36898977,-0.34130496,-0.10871425,-0.34242907,-0.2458878,-0.09158786,-0.28977644,-0.22649053,-0.07156455,-0.2184148,-0.32947928,-0.08320523,-0.35637596,-0.26402757,-0.11644077,-0.33260405,-0.1832155,-0.108627886,-0.2883868,-0.1632727,-0.09492635,I
0.0,0.0,0.0,-0.042465992,-0.18915182,0.012977164,-0.1240471,-0.3600179,0.0071351905,-0.2228134,-0.45182994,-0.0069880667,-0.30800727,-0.45638824,-0.02399462,-0.13193038,-0.52455944,-0.009522524,-0.22172596,-0.717281,-0.04396634,-0.2718086,-0.843156,-0.0580377,-0.30948657,-0.94834256,-0.06974569,-0.14434518,-0.49687243,-0.033443052,-0.36649868,-0.45811304,-0.097218014,-0.3688042,-0.33031768,-0.09991411,-0.32161486,-0.2694662,-0.08945254,-0.17208788,-0.42345762,-0.057168916,-0.36180577,-0.33790505,-0.11366428,-0.3385981,-0.2359404,-0.09977759,-0.2857808,-0.2088387,-0.07869372,-0.20380256,-0.33546704,-0.08026723,-0.34393677,-0.26262918,-0.118226655,-0.32278925,-0.17937833,-0.11282571,-0.2781967,-0.15706767,-0.0990416,I
0.0,0.0,0.0,-0.12609145,-0.14609015,0.012899819,-0.21362203,-0.301794,0.001099146,-0.2871952,-0.40940243,-0.02099288,-0.35014504,-0.44674277,-0.04424213,-0.13614167,-0.527348,-0.0028074782,-0.21659206,-0.71496135,-0.041045595,-0.26107568,-0.84250486,-0.06017524,-0.29414043,-0.9527327,-0.07603834,-0.13003075,-0.5058022,-0.032317083,-0.3602321,-0.4692702,-0.10282323,-0.3677047,-0.33045566,-0.109223604,-0.3197559,-0.25694096,-0.09998648,-0.14807774,-0.44028538,-0.06274337,-0.35049048,-0.3481371,-0.1240531,-0.3285447,-0.23397799,-0.10651559,-0.2732777,-0.19652751,-0.081790864,-0.17262739,-0.35682017,-0.09357848,-0.3251448,-0.27472425,-0.13537948,-0.30910623,-0.18113533,-0.1279125,-0.26363277,-0.15349045,-0.11151817,I
0.0,0.0,0.0,-0.18475287,-0.10138619,-0.0051482054,-0.2822576,-0.23567432,-0.030135382,-0.3540521,-0.3481185,-0.06547903,-0.39717284,-0.42229992,-0.10146768,-0.14473446,-0.53550285,-0.00816747,-0.210315,-0.71669054,-0.055079468,-0.2466544,-0.843469,-0.08615884,-0.27350143,-0.9553932,-0.11144868,-0.11257,-0.52136797,-0.036418628,-0.34248924,-0.47915852,-0.118055075,-0.3553231,-0.3236253,-0.13525526,-0.31199723,-0.24484012,-0.1311776,-0.1084782,-0.46054745,-0.06750018,-0.3241873,-0.35831887,-0.14279391,-0.30043703,-0.2281988,-0.12368911,-0.24354011,-0.17984056,-0.09362756,-0.120199464,-0.3744823,-0.100577354,-0.28650475,-0.28982544,-0.15257272,-0.26676464,-0.19186206,-0.14004874,-0.21292688,-0.15956442,-0.116288275,I
0.0,0.0,0.0,-0.06582336,-0.17969261,0.012337577,-0.14458631,-0.34258392,0.0026466367,-0.23429437,-0.43804878,-0.016438898,-0.31272075,-0.45170444,-0.037856307,-0.1240033,-0.5248611,-0.008585658,-0.20825611,-0.7173289,-0.04603479,-0.25261134,-0.8464574,-0.06368198,-0.28477657,-0.95545375,-0.07752713,-0.13045149,-0.4994261,-0.0346958,-0.3504765,-0.46452108,-0.101126626,-0.35755196,-0.33716622,-0.10624906,-0.31213942,-0.27198046,-0.097132206,-0.15493399,-0.4293474,-0.061007172,-0.34585688,-0.34267852,-0.119227916,-0.3236336,-0.23636945,-0.10493426,-0.26935747,-0.20293175,-0.08305608,-0.18394378,-0.34340933,-0.08717795,-0.32664043,-0.27009422,-0.12560882,-0.30878535,-0.18254624,-0.11910237,-0.26469564,-0.1556279,-0.10411971,I
0.0,0.0,0.0,-0.061499964,-0.18342513,0.012473511,-0.14127763,-0.34940356,0.0037205687,-0.23203455,-0.4454391,-0.014217631,-0.3121106,-0.45871747,-0.034624115,-0.12750332,-0.5256281,-0.008943828,-0.21436524,-0.717176,-0.04543684,-0.2601971,-0.8454223,-0.06219048,-0.29307583,-0.95311517,-0.075352855,-0.13537401,-0.4995925,-0.03430385,-0.3574747,-0.46555066,-0.100164436,-0.3648726,-0.33761144,-0.10505528,-0.3193661,-0.27061015,-0.09563546,-0.15985788,-0.42941517,-0.05968557,-0.35214776,-0.34423968,-0.1173148,-0.33072487,-0.23860824,-0.10385035,-0.27693254,-0.20374079,-0.08250644,-0.187718,-0.34359288,-0.08477839,-0.3296758,-0.2731015,-0.12224208,-0.31231773,-0.18641421,-0.11596479,-0.26887247,-0.15813482,-0.101313815,I
0.0,0.0,0.0,-0.18666266,-0.10023378,-0.010336813,-0.28341022,-0.24465077,-0.033506013,-0.350877,-0.36467203,-0.06604162,-0.38959774,-0.43523976,-0.09920251,-0.14763536,-0.5473909,-0.008450649,-0.21741353,-0.71893364,-0.05501984,-0.25564054,-0.8420477,-0.08706477,-0.28467086,-0.95189077,-0.11343068,-0.111774646,-0.5345232,-0.03462227,-0.33789113,-0.47710314,-0.116759114,-0.3496069,-0.31825393,-0.13580829,-0.30564985,-0.23567659,-0.13265328,-0.10257833,-0.47011805,-0.06435985,-0.31562367,-0.36081663,-0.14193752,-0.2949248,-0.22906755,-0.12486524,-0.23990975,-0.17621645,-0.09503786,-0.10916161,-0.37889975,-0.09659089,-0.27276996,-0.2907825,-0.14962855,-0.2570635,-0.19279957,-0.13801572,-0.20728825,-0.15609935,-0.114548795,I
