l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.11034904,-0.1642767,-0.020203905,-0.15264407,-0.37490723,-0.039656118,-0.15499865,-0.531765,-0.068325125,-0.17490095,-0.6535362,-0.09684827,0.06306513,-0.52975327,-0.009180363,0.0059412736,-0.7367314,-0.063363746,-0.026097367,-0.87171626,-0.10313017,-0.053163614,-0.9896363,-0.13339272,0.124746025,-0.50785214,-0.036608275,-0.040063966,-0.60088855,-0.1395874,-0.16917299,-0.55819625,-0.17988184,-0.25351858,-0.5281241,-0.18489511,0.16302046,-0.46273965,-0.069017746,-0.040348303,-0.47713384,-0.15941124,-0.0665562,-0.32534304,-0.15071723,-0.047877066,-0.22412226,-0.12170758,0.17697178,-0.39544195,-0.10593716,0.0007667176,-0.3950615,-0.16851923,-0.02967219,-0.28154013,-0.16001524,-0.006661935,-0.2023491,-0.1361186,K
0.0,0.0,0.0,-0.12519273,-0.14031671,-0.016550584,-0.18041852,-0.3557382,-0.033767924,-0.18393783,-0.51408917,-0.06320349,-0.20090389,-0.6536072,-0.09425329,0.023306618,-0.51459104,0.002394864,-0.012787075,-0.71847475,-0.05277785,-0.038913317,-0.8682756,-0.09546091,-0.06547857,-0.9896705,-0.12753361,0.09503258,-0.49757916,-0.031088002,-0.04530393,-0.618761,-0.13606264,-0.16523789,-0.5831436,-0.18055572,-0.25094578,-0.5470367,-0.18689384,0.15459816,-0.45205042,-0.069989905,-0.020123456,-0.48965356,-0.17143123,-0.04614334,-0.32446688,-0.16216627,-0.03844666,-0.21022,-0.12751137,0.19600679,-0.37716037,-0.111824945,0.043322843,-0.41321883,-0.18265365,0.010402598,-0.29056886,-0.16715688,0.024755538,-0.19998354,-0.13522255,K
0.0,0.0,0.0,-0.10808339,-0.15298752,-0.01990105,-0.15196422,-0.35748056,-0.040785685,-0.15490542,-0.51280355,-0.07146345,-0.1709861,-0.6341384,-0.1024489,0.05129174,-0.5121445,-0.011948815,0.0066752792,-0.7220016,-0.06838747,-0.020824136,-0.8665676,-0.11013594,-0.047101002,-0.9888119,-0.14153646,0.116733186,-0.4914035,-0.040474992,-0.031843066,-0.59344524,-0.14660504,-0.15541545,-0.5533849,-0.18831722,-0.24138598,-0.5165949,-0.19325712,0.16259156,-0.4468959,-0.07377107,-0.028659182,-0.47322673,-0.16801524,-0.055548653,-0.3190325,-0.15845321,-0.043318063,-0.20906109,-0.12700357,0.18649058,-0.3794427,-0.11123262,0.018226488,-0.39215258,-0.17641509,-0.017512023,-0.27797407,-0.16599436,-0.004133641,-0.1916653,-0.13960497,K
0.0,0.0,0.0,-0.102897756,-0.1867262,-0.011299994,-0.1311898,-0.38541114,-0.0286516,-0.13348036,-0.53210443,-0.05762267,-0.14318457,-0.6535069,-0.0868419,0.087278225,-0.52799195,0.001413793,0.024689369,-0.7388403,-0.04941554,-0.009514571,-0.87512183,-0.087554775,-0.038974106,-0.99242043,-0.116544604,0.14272778,-0.5027014,-0.029164432,-0.036808793,-0.5993208,-0.12504444,-0.16696781,-0.5547963,-0.16309698,-0.24823783,-0.52622914,-0.16856338,0.17384468,-0.45480266,-0.06415098,-0.041311096,-0.47949982,-0.14611265,-0.06487315,-0.33428133,-0.13607243,-0.04076711,-0.24378456,-0.10935045,0.17968875,-0.3865545,-0.10304252,-0.001888003,-0.40105477,-0.15701647,-0.031366322,-0.29306465,-0.14388698,-0.0064649833,-0.21822214,-0.118701346,K
0.0,0.0,0.0,-0.17912748,-0.14342088,-0.010984682,-0.27188534,-0.33120766,-0.034584723,-0.32696232,-0.4800274,-0.07100595,-0.39934975,-0.6189226,-0.10697751,-0.100136705,-0.5956937,0.0056551713,-0.2365936,-0.7394363,-0.05413454,-0.31627983,-0.8304447,-0.09785712,-0.38419348,-0.91404134,-0.1300915,-0.03571429,-0.5846772,-0.03272434,-0.2518282,-0.58828634,-0.13505338,-0.35737145,-0.45347106,-0.17273322,-0.4163858,-0.37411007,-0.17762934,0.0036670237,-0.53236365,-0.07746284,-0.21856546,-0.44265205,-0.16282998,-0.1959422,-0.2930962,-0.14784953,-0.14130966,-0.24066746,-0.12013589,0.023124674,-0.45087305,-0.12672213,-0.15558654,-0.36663222,-0.18428086,-0.1420246,-0.25151202,-0.17068039,-0.08793151,-0.21430185,-0.14713313,K
0.0,0.0,0.0,-0.17081864,-0.13120697,-0.01791055,-0.266893,-0.31968024,-0.03902134,-0.32267463,-0.4644153,-0.07104936,-0.39585787,-0.59142095,-0.10228882,-0.11389067,-0.5896682,0.0031628276,-0.2319348,-0.74156934,-0.057099257,-0.3077191,-0.8345883,-0.101029664,-0.3754369,-0.917303,-0.13267373,-0.039310634,-0.5879072,-0.029856233,-0.2417523,-0.5817917,-0.133925,-0.3416199,-0.44077784,-0.17476104,-0.40086475,-0.34846386,-0.18021066,0.014512399,-0.54342955,-0.069280356,-0.19546527,-0.43832016,-0.15992497,-0.17437248,-0.2862079,-0.14807661,-0.12820372,-0.22380768,-0.11881539,0.049502004,-0.46489358,-0.11324428,-0.12403056,-0.37585917,-0.1726627,-0.11376918,-0.25458372,-0.15740064,-0.06729308,-0.20452856,-0.13021225,K
0.0,0.0,0.0,-0.17263912,-0.12566023,-0.017199429,-0.27030468,-0.3170826,-0.03909897,-0.32592317,-0.46723735,-0.072280735,-0.40246758,-0.59203696,-0.105319835,-0.11338849,-0.59129626,0.0034753415,-0.2366543,-0.7368458,-0.055136353,-0.31353375,-0.8322396,-0.09806414,-0.3805321,-0.915636,-0.12963769,-0.04243468,-0.5880073,-0.030789446,-0.2495881,-0.57854414,-0.13253875,-0.35106924,-0.4411418,-0.17089179,-0.40913883,-0.35730326,-0.17523506,0.009297462,-0.54019415,-0.07163172,-0.20046829,-0.4391097,-0.16087355,-0.17762852,-0.28704056,-0.1485529,-0.12699683,-0.22888823,-0.119933106,0.04386329,-0.4592481,-0.116926275,-0.12951499,-0.3758428,-0.17746358,-0.11724891,-0.25681928,-0.16338094,-0.06638596,-0.21171883,-0.13737826,K
0.0,0.0,0.0,-0.1693327,-0.12227135,-0.021436898,-0.25974268,-0.31200868,-0.04341228,-0.3083697,-0.46513492,-0.07584584,-0.37662396,-0.6001837,-0.10736434,-0.09829276,-0.5812705,0.0026248847,-0.21361654,-0.7373799,-0.056201566,-0.28791767,-0.8358889,-0.100448616,-0.35284725,-0.9261096,-0.13349074,-0.029206526,-0.5810286,-0.028706921,-0.22431245,-0.5852843,-0.1343163,-0.3351042,-0.4609633,-0.1784531,-0.40594625,-0.3828869,-0.1860299,0.019010913,-0.53786206,-0.06643583,-0.18955004,-0.43884835,-0.15940535,-0.17041124,-0.2780757,-0.15135475,-0.12382108,-0.20671968,-0.12378568,0.04911201,-0.46142185,-0.10897683,-0.12467848,-0.370497,-0.17340347,-0.11615792,-0.24630043,-0.16340373,-0.069318116,-0.19236344,-0.13889115,K
0.0,0.0,0.0,-0.15809557,-0.13239686,-0.01583185,-0.24387342,-0.3237212,-0.036979847,-0.289577,-0.4754255,-0.069800675,-0.35522845,-0.6071545,-0.10247362,-0.08094923,-0.58609676,0.0032949373,-0.19175974,-0.74523526,-0.056472376,-0.2660751,-0.846387,-0.1016683,-0.33160785,-0.9337515,-0.13470082,-0.011395678,-0.5830938,-0.030565199,-0.2083015,-0.5874743,-0.13374732,-0.31628573,-0.46383807,-0.17636052,-0.382948,-0.38475275,-0.1837611,0.038419213,-0.5376616,-0.07027213,-0.17176504,-0.4444744,-0.16056873,-0.15579052,-0.28724557,-0.15166184,-0.11160188,-0.21642876,-0.12464202,0.070837334,-0.45868447,-0.11424048,-0.10489139,-0.38300857,-0.17579126,-0.10051908,-0.25919986,-0.16330756,-0.056338858,-0.20078011,-0.13759671,K
0.0,0.0,0.0,-0.1588451,-0.13591132,-0.01674523,-0.24275765,-0.33002046,-0.038852282,-0.28740698,-0.4832065,-0.07226182,-0.35184544,-0.6174986,-0.105263546,-0.072107546,-0.58349425,0.0030322133,-0.18910725,-0.744299,-0.056413382,-0.26355255,-0.8459279,-0.09996386,-0.32647252,-0.9359891,-0.13168183,-0.0005649196,-0.5787057,-0.030320143,-0.19740312,-0.5968355,-0.13488817,-0.31024942,-0.4760526,-0.1756338,-0.37816057,-0.40006435,-0.18039148,0.04769368,-0.53345627,-0.069926985,-0.16666722,-0.4513037,-0.16131574,-0.15546182,-0.29034546,-0.15149294,-0.11093113,-0.21666765,-0.12287084,0.07485638,-0.45700517,-0.1138305,-0.10545885,-0.3864212,-0.17621857,-0.104643926,-0.26072374,-0.16424875,-0.060627904,-0.20123473,-0.13861446,K
