l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.17340332,-0.06059733,-0.03910257,-0.33655635,-0.17893836,-0.07597607,-0.474716,-0.2106209,-0.12068199,-0.5833315,-0.19155599,-0.17027335,-0.17845528,-0.5039836,-0.052489936,-0.20360887,-0.70928615,-0.10022495,-0.21294184,-0.8418084,-0.13603847,-0.21934894,-0.9611025,-0.1678335,-0.06361621,-0.53997076,-0.0739878,-0.14123881,-0.4494734,-0.1553854,-0.13117208,-0.2778103,-0.17379656,-0.092584826,-0.19058017,-0.1724695,0.04016199,-0.5016278,-0.10072841,-0.046491396,-0.37717566,-0.1633969,-0.044818763,-0.23225877,-0.14033122,-0.012828381,-0.17621334,-0.11335636,0.12975046,-0.42806646,-0.1341386,0.055699848,-0.34932646,-0.16383338,0.042179756,-0.24339887,-0.13739951,0.06895116,-0.20238215,-0.11036238,L
0.0,0.0,0.0,-0.16663435,-0.07753498,-0.032823674,-0.32511505,-0.21297465,-0.06441516,-0.45521745,-0.25687316,-0.10498288,-0.55904216,-0.24863398,-0.15031378,-0.14392106,-0.5204972,-0.04090291,-0.16973762,-0.72217655,-0.08534117,-0.18045746,-0.8538318,-0.11856904,-0.18853049,-0.9706458,-0.14934157,-0.033180676,-0.5435341,-0.06521184,-0.13447753,-0.47287267,-0.14517123,-0.12878814,-0.301859,-0.16439003,-0.08778555,-0.21722881,-0.16388884,0.06631893,-0.4982682,-0.09455367,-0.04258736,-0.3947829,-0.1590096,-0.0410154,-0.24760523,-0.1365603,-0.005346499,-0.19442566,-0.11007501,0.15360971,-0.41839933,-0.12983021,0.06112243,-0.35614336,-0.16296923,0.048305575,-0.24984658,-0.13771796,0.08018836,-0.21031448,-0.11172483,L
0.0,0.0,0.0,-0.16614369,-0.081181385,-0.037193697,-0.3262373,-0.22463621,-0.0716018,-0.45635125,-0.2706549,-0.11405984,-0.56104463,-0.25899225,-0.16126582,-0.14229406,-0.52381223,-0.047040094,-0.16747117,-0.72218317,-0.094465,-0.17732841,-0.8524414,-0.1298613,-0.18508041,-0.96927994,-0.16199261,-0.031957615,-0.5464452,-0.06983524,-0.1338572,-0.4828766,-0.15199956,-0.1279187,-0.31274548,-0.17209856,-0.08644338,-0.22915266,-0.17187935,0.066732995,-0.50076216,-0.097979404,-0.041762847,-0.40485853,-0.16372961,-0.03902799,-0.25758755,-0.14142193,-0.002067898,-0.20458074,-0.11484314,0.15516925,-0.41991863,-0.13255905,0.06245794,-0.3698044,-0.16545375,0.04909885,-0.26040164,-0.13891965,0.08070559,-0.21646321,-0.11210501,L
0.0,0.0,0.0,-0.19015336,-0.010623849,-0.04384611,-0.37151027,-0.08085123,-0.08415067,-0.5159563,-0.06656091,-0.13290949,-0.62187886,-0.006714706,-0.18709743,-0.26373243,-0.44547015,-0.044715535,-0.33418068,-0.6481906,-0.08976353,-0.36849877,-0.78665704,-0.124437094,-0.39588812,-0.90515274,-0.15482593,-0.1590642,-0.50042635,-0.06473683,-0.22359914,-0.44775817,-0.15412018,-0.18431787,-0.27625778,-0.18000321,-0.13378216,-0.17007539,-0.17836323,-0.05212837,-0.49081126,-0.09008632,-0.119838476,-0.3938248,-0.1635468,-0.09182241,-0.23678295,-0.15031624,-0.051122673,-0.15857372,-0.12352045,0.048537735,-0.4469962,-0.121067934,-0.014501609,-0.39617464,-0.1588542,-0.010427844,-0.27585292,-0.13672324,0.021841083,-0.21818507,-0.10951116,L
0.0,0.0,0.0,-0.1910837,-0.01442694,-0.03646402,-0.3768731,-0.09752717,-0.06628118,-0.52209234,-0.10349521,-0.10502595,-0.6319138,-0.0669568,-0.14918771,-0.25358328,-0.4639461,-0.026490958,-0.30888802,-0.67362696,-0.065307006,-0.33646306,-0.81080335,-0.097136654,-0.35846108,-0.92522675,-0.124343015,-0.14238235,-0.5171594,-0.04340294,-0.20353042,-0.46957454,-0.12848423,-0.17929532,-0.2953533,-0.15429795,-0.1324304,-0.17565468,-0.15129319,-0.03607956,-0.5075292,-0.064992905,-0.106356956,-0.4143413,-0.13985805,-0.09055159,-0.24921735,-0.1287603,-0.050351813,-0.1423903,-0.09958853,0.06092855,-0.46237898,-0.0905755,-0.0034048725,-0.4049742,-0.13562953,-0.014680602,-0.27808332,-0.11826044,0.007857107,-0.191282,-0.09026572,L
0.0,0.0,0.0,-0.16951632,-0.07315409,-0.042399246,-0.33324698,-0.21539268,-0.07570354,-0.47133112,-0.26519343,-0.11555882,-0.5784913,-0.2510099,-0.16050822,-0.15190709,-0.5096042,-0.04753624,-0.15629414,-0.72716534,-0.092137314,-0.15602332,-0.86177754,-0.122541785,-0.15607841,-0.976477,-0.14876857,-0.034907334,-0.51887846,-0.06592995,-0.102552526,-0.49906138,-0.15266922,-0.1102541,-0.31989434,-0.1717159,-0.08461639,-0.21326172,-0.16611806,0.06813048,-0.4699146,-0.089815445,-0.010747442,-0.41134492,-0.16760968,-0.024022799,-0.25098252,-0.14943482,-3.4132096e-05,-0.17293313,-0.11790074,0.15865026,-0.3936147,-0.11816745,0.08946225,-0.3787418,-0.159094,0.06173167,-0.2631892,-0.1334312,0.07914692,-0.19967288,-0.103031255,L
0.0,0.0,0.0,-0.15905072,-0.083930716,-0.044049226,-0.32149282,-0.2267284,-0.08472877,-0.45551604,-0.27407485,-0.13352087,-0.56501454,-0.25693592,-0.18783708,-0.13215704,-0.5088638,-0.05546069,-0.15077378,-0.71696305,-0.10626561,-0.14753681,-0.85274875,-0.14337492,-0.13942233,-0.97449833,-0.17582467,-0.017696453,-0.52707857,-0.07708666,-0.09775142,-0.4960361,-0.1684403,-0.095598824,-0.32071468,-0.1922063,-0.06637155,-0.216326,-0.19190192,0.08712496,-0.48552364,-0.104287244,-0.0025692987,-0.417319,-0.1760441,-0.010688077,-0.25841358,-0.15627761,0.011077211,-0.18638459,-0.1290168,0.18954216,-0.4122541,-0.1386526,0.11333427,-0.39497918,-0.16965957,0.077352114,-0.27206627,-0.14123434,0.08121556,-0.20976683,-0.11377048,L
0.0,0.0,0.0,-0.1870681,-0.031494845,-0.045626268,-0.37641037,-0.13636212,-0.07961945,-0.52472526,-0.15631413,-0.12026725,-0.63473225,-0.12374714,-0.16514584,-0.22229393,-0.48393518,-0.046603702,-0.2591917,-0.693086,-0.0892063,-0.27877343,-0.827179,-0.11863064,-0.29224685,-0.9450805,-0.14633662,-0.103364795,-0.52262664,-0.06598493,-0.17243493,-0.4728885,-0.15335704,-0.1541094,-0.28842664,-0.17375976,-0.11146037,-0.18406512,-0.16977374,0.0105669405,-0.49202654,-0.09128989,-0.06617183,-0.39487895,-0.1684719,-0.0566925,-0.23113625,-0.15075538,-0.02185462,-0.16354331,-0.12139204,0.11521712,-0.4282379,-0.122056864,0.045356695,-0.38576803,-0.16235788,0.032109845,-0.26357573,-0.137955,0.05724872,-0.20995143,-0.11036674,L
0.0,0.0,0.0,-0.17340848,-0.051238954,-0.037870273,-0.34980598,-0.1576716,-0.07262754,-0.48994634,-0.176715,-0.11551592,-0.59959346,-0.14962395,-0.16380301,-0.20305556,-0.482641,-0.042288892,-0.25327608,-0.69191605,-0.08904625,-0.27062044,-0.82574785,-0.122198984,-0.28387392,-0.9468135,-0.15152496,-0.095629215,-0.5134057,-0.06268852,-0.17310093,-0.502868,-0.15611607,-0.14568049,-0.32683557,-0.18012038,-0.102304086,-0.22214015,-0.1775441,0.009519359,-0.49214226,-0.08799647,-0.06908254,-0.43740493,-0.1665938,-0.05414034,-0.27238864,-0.14715739,-0.027272679,-0.18825646,-0.11600867,0.113288306,-0.44228557,-0.11822686,0.042624943,-0.43384692,-0.1571657,0.02227766,-0.3067496,-0.13101377,0.029106064,-0.23812838,-0.102385364,L
0.0,0.0,0.0,-0.17479828,-0.044274364,-0.03840611,-0.35464677,-0.1501647,-0.072104864,-0.49554062,-0.17319977,-0.113248095,-0.60382086,-0.14599869,-0.15969454,-0.21349587,-0.4776704,-0.043114856,-0.25909922,-0.6880563,-0.09072034,-0.2777586,-0.8237612,-0.12283981,-0.29278702,-0.9441871,-0.15095207,-0.10641547,-0.5113587,-0.06353373,-0.18004374,-0.5016044,-0.15924391,-0.15326844,-0.31915984,-0.18192618,-0.11077015,-0.20956504,-0.17615546,-0.0009812975,-0.49270266,-0.0889818,-0.0780737,-0.43047678,-0.16993248,-0.059892382,-0.26330695,-0.15019405,-0.029820824,-0.1845749,-0.11696304,0.10201464,-0.44473878,-0.11900144,0.0285253,-0.42448258,-0.15880607,0.017503131,-0.29847273,-0.13213605,0.033903606,-0.24010137,-0.10206584,L
