l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.22789359,0.0013733832,-0.1942431,-0.43623155,-0.05895593,-0.335761,-0.5492435,-0.14170735,-0.4511686,-0.5055837,-0.24499664,-0.547398,-0.52119535,-0.80607086,-0.25634342,-0.5369877,-0.61048305,-0.4349217,-0.4626537,-0.29780883,-0.543351,-0.40535358,-0.053201865,-0.59713966,-0.3143498,-0.91854334,-0.23971325,-0.30588368,-0.6167098,-0.42529178,-0.2594425,-0.23863389,-0.4905797,-0.23341095,0.025909068,-0.50457424,-0.10497599,-0.9015892,-0.24140891,-0.09055894,-0.5868781,-0.420062,-0.090316355,-0.22635935,-0.42236528,-0.10235025,0.035352338,-0.38807964,0.08190106,-0.7979322,-0.25879902,0.10787994,-0.5220427,-0.40140757,0.080942504,-0.2449204,-0.40493527,0.033298615,-0.058658723,-0.37370017,M
0.0,0.0,0.0,-0.2543522,-0.011811189,-0.15028018,-0.49089244,-0.1016207,-0.2607683,-0.6208191,-0.20399374,-0.3532831,-0.5562244,-0.29196,-0.4274942,-0.51926464,-0.8343962,-0.18478982,-0.59230167,-0.62976986,-0.32774755,-0.5384493,-0.33647335,-0.41213703,-0.48669097,-0.116045184,-0.45352763,-0.3281974,-0.91256243,-0.1808993,-0.3890001,-0.6376301,-0.3324057,-0.36417958,-0.27759117,-0.38037288,-0.34516436,-0.031907942,-0.38545215,-0.1317366,-0.875834,-0.19279908,-0.18839122,-0.5852101,-0.34078264,-0.20109248,-0.23791175,-0.33437833,-0.21256752,0.003231213,-0.2978427,0.046026636,-0.76173854,-0.21752144,0.0010441054,-0.54044485,-0.32942492,-0.04066396,-0.27203435,-0.32010713,-0.08567482,-0.09114006,-0.2841234,M
0.0,0.0,0.0,-0.24722809,-0.03441115,-0.14871375,-0.4739202,-0.108820155,-0.26609036,-0.5965744,-0.1901625,-0.36763388,-0.53586715,-0.25044236,-0.4528125,-0.5083439,-0.83906764,-0.19378339,-0.5636312,-0.6056645,-0.34063226,-0.5061984,-0.3008041,-0.4303278,-0.4566161,-0.08032643,-0.47615486,-0.30793357,-0.90684414,-0.195667,-0.3518442,-0.5995097,-0.3570322,-0.32361612,-0.23103987,-0.41297066,-0.30293906,0.015436564,-0.4233021,-0.10545441,-0.86194754,-0.21185325,-0.14419545,-0.53875613,-0.37185073,-0.16180477,-0.1773503,-0.37164932,-0.17807214,0.07479225,-0.33672234,0.07407206,-0.7401721,-0.23972161,0.052249193,-0.5048925,-0.35798323,0.010773537,-0.23375368,-0.34839222,-0.039184548,-0.04934738,-0.31144008,M
0.0,0.0,0.0,-0.21408,-0.0025083034,-0.2189,-0.41801244,-0.04192772,-0.38011542,-0.53398395,-0.120554574,-0.51141113,-0.47852853,-0.22973594,-0.6239055,-0.51260394,-0.8027364,-0.29932043,-0.4828784,-0.56112,-0.5032023,-0.40215102,-0.25217482,-0.62906474,-0.34710208,-0.0070067467,-0.6914428,-0.29824376,-0.91373295,-0.27593967,-0.2527475,-0.5693825,-0.49136138,-0.20121083,-0.18255389,-0.57455134,-0.17052828,0.0911039,-0.5961166,-0.0826188,-0.89744943,-0.27053505,-0.030280322,-0.53821707,-0.47513044,-0.037202433,-0.16376364,-0.48726556,-0.05838929,0.11308697,-0.45221424,0.1024621,-0.7935773,-0.28188843,0.16338544,-0.49114314,-0.43867934,0.14398973,-0.2119385,-0.44492155,0.098828584,-0.021940226,-0.41066214,M
0.0,0.0,0.0,-0.20187047,0.04825773,-0.26406848,-0.40313095,0.013591363,-0.44960222,-0.48283172,-0.07306871,-0.59285706,-0.41300675,-0.19973679,-0.71416473,-0.48529643,-0.7832234,-0.38864955,-0.3872063,-0.49464202,-0.6148848,-0.28898373,-0.17234388,-0.7469536,-0.23007368,0.07736029,-0.81211793,-0.25632215,-0.896087,-0.3509042,-0.15200114,-0.5439219,-0.58943367,-0.09514757,-0.14729849,-0.668623,-0.064889856,0.13568133,-0.68547815,-0.0351945,-0.87821347,-0.33148918,0.07656773,-0.5292747,-0.55622596,0.08383118,-0.14450328,-0.5547789,0.06541672,0.13628808,-0.5089322,0.15514544,-0.77267295,-0.33258474,0.26183763,-0.4923776,-0.5078091,0.25336152,-0.19773765,-0.5086672,0.21131408,0.0024169718,-0.46789706,M
0.0,0.0,0.0,-0.21232003,0.03013464,-0.22198893,-0.42126572,-0.0011179505,-0.38177544,-0.53242815,-0.08046624,-0.50763,-0.46768206,-0.19805811,-0.6132832,-0.5190646,-0.78422314,-0.32370076,-0.49632043,-0.52763546,-0.52345115,-0.4020032,-0.2222959,-0.6387483,-0.33661222,0.020388976,-0.6951841,-0.29804453,-0.9057456,-0.3013209,-0.25098193,-0.56515986,-0.5194705,-0.1919004,-0.17728803,-0.59522176,-0.15895325,0.09951446,-0.61147034,-0.07776995,-0.8942148,-0.29482612,-0.018588942,-0.5454891,-0.5073208,-0.012548413,-0.1640854,-0.5132928,-0.027329104,0.12130021,-0.47441164,0.11340642,-0.78949463,-0.3048448,0.17997178,-0.48155951,-0.4798315,0.16605279,-0.17988539,-0.48784035,0.12454997,0.027799945,-0.45239434,M
0.0,0.0,0.0,-0.24881646,0.007324225,-0.16386329,-0.47677895,-0.035867944,-0.29132804,-0.61256015,-0.091491714,-0.40190536,-0.56747466,-0.15825953,-0.49642143,-0.5741881,-0.7922061,-0.20668201,-0.60136396,-0.5344838,-0.3742577,-0.5284064,-0.22180606,-0.48224717,-0.47026524,0.004458878,-0.53854126,-0.36544466,-0.8963231,-0.20833515,-0.37975454,-0.5567514,-0.38413662,-0.3331955,-0.175368,-0.4480087,-0.300841,0.081956655,-0.46239063,-0.1485626,-0.87519926,-0.2281034,-0.15860547,-0.5067851,-0.39857137,-0.1635244,-0.13861372,-0.40695345,-0.16930026,0.1195053,-0.3772833,0.04932463,-0.76870507,-0.26156142,0.041689638,-0.46789733,-0.38661903,0.01052073,-0.18343213,-0.38666955,-0.03235588,0.010504583,-0.3570798,M
0.0,0.0,0.0,-0.30091706,-0.025162445,-0.12116247,-0.5345834,-0.11534674,-0.22250262,-0.692328,-0.15858309,-0.3132218,-0.7869042,-0.17414625,-0.39260072,-0.59138376,-0.78520125,-0.18364167,-0.7326154,-0.5186268,-0.3294512,-0.6949585,-0.19867595,-0.41019514,-0.6422389,0.062363874,-0.44317025,-0.40749368,-0.8634961,-0.19687425,-0.5450015,-0.50449044,-0.34418225,-0.5193836,-0.13518992,-0.39571825,-0.4872841,0.12603624,-0.40680775,-0.2120624,-0.8251281,-0.2230392,-0.33901554,-0.4601096,-0.37384856,-0.34694022,-0.09520448,-0.37811735,-0.34152445,0.16375089,-0.3506755,-0.026045153,-0.70351017,-0.2571109,-0.14200547,-0.4218145,-0.3746049,-0.17194001,-0.13211575,-0.3662765,-0.1903786,0.072057,-0.3322541,M
0.0,0.0,0.0,-0.26621535,-0.007753387,-0.14298306,-0.4930666,-0.06858281,-0.26210722,-0.62389696,-0.09664766,-0.367667,-0.6449885,-0.088255584,-0.4647702,-0.5903343,-0.7792835,-0.21029195,-0.6643817,-0.49537864,-0.3778666,-0.6168509,-0.18631354,-0.48309156,-0.5715521,0.057441622,-0.5357289,-0.38637936,-0.8730347,-0.22348128,-0.44993517,-0.49927568,-0.40091535,-0.41832486,-0.108017735,-0.47005478,-0.3954143,0.16528705,-0.48962715,-0.17460988,-0.83628833,-0.25125855,-0.23549023,-0.45367524,-0.42379552,-0.2496199,-0.07646455,-0.43762395,-0.26384902,0.19071528,-0.4132981,0.017136024,-0.7097768,-0.28916615,-0.0312751,-0.41200396,-0.41873896,-0.06620842,-0.11496618,-0.4150785,-0.10718322,0.0900652,-0.38351735,M
0.0,0.0,0.0,-0.20969297,0.030314779,-0.22675216,-0.4160334,0.009712445,-0.39038715,-0.54158396,-0.0584235,-0.52074176,-0.5021993,-0.18010998,-0.6314366,-0.5435092,-0.77454686,-0.323535,-0.510613,-0.51859504,-0.5234877,-0.41810384,-0.19759414,-0.6365171,-0.35486028,0.052607596,-0.6885627,-0.31552544,-0.89908016,-0.29730013,-0.2646013,-0.54767233,-0.5102223,-0.20070894,-0.15761277,-0.58051425,-0.16208537,0.117518865,-0.59363365,-0.08850026,-0.8920996,-0.28841627,-0.027110215,-0.5302086,-0.49697706,-0.016463129,-0.14380008,-0.4982896,-0.026265044,0.14389476,-0.45551318,0.10943993,-0.79354846,-0.2958237,0.17448075,-0.5108982,-0.45651314,0.16069129,-0.20899509,-0.45377558,0.1154774,0.00946528,-0.41281345,M
