l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.16343707,0.0655606,0.09628558,-0.29262164,0.23220079,0.12641548,-0.36213633,0.4014054,0.1296531,-0.37486744,0.5413793,0.13100451,-0.4319876,0.29680595,0.08778354,-0.5575352,0.4816519,0.07544989,-0.5907442,0.5704091,0.067323156,-0.6077361,0.63304234,0.06269651,-0.40666935,0.32568935,0.028572103,-0.45263284,0.63093895,0.022414366,-0.4434647,0.7926356,0.02012098,-0.438928,0.89843106,0.012798136,-0.3440686,0.35120717,-0.026010072,-0.31255564,0.64883786,-0.023022188,-0.23084807,0.6119695,-0.0038441923,-0.2023583,0.5346813,0.0030519525,-0.25950155,0.37747028,-0.07505707,-0.20858821,0.59835714,-0.06481936,-0.15196973,0.5575865,-0.044181224,-0.14502273,0.47575107,-0.032354288,P
0.0,0.0,0.0,-0.18515585,0.053543173,0.0537349,-0.30988446,0.22079268,0.05842011,-0.35359102,0.391048,0.04665596,-0.3404523,0.542779,0.030396495,-0.4146659,0.3044471,0.012048679,-0.47236213,0.55064297,-0.024337556,-0.46516648,0.707341,-0.047068916,-0.44384465,0.8365341,-0.059046533,-0.37082362,0.3598201,-0.035682876,-0.48339516,0.61812556,-0.061455667,-0.49628726,0.76403505,-0.065176986,-0.49382758,0.867138,-0.06485284,-0.28653538,0.40042046,-0.07830758,-0.27029386,0.68143964,-0.094414756,-0.20554577,0.6305206,-0.069513224,-0.18778253,0.544329,-0.04960748,-0.1758822,0.42697427,-0.11864003,-0.13676694,0.6216203,-0.124397896,-0.0987419,0.5709222,-0.09637226,-0.10326557,0.49425796,-0.07290574,P
0.0,0.0,0.0,-0.1753071,0.035104483,0.07245648,-0.31180078,0.18800932,0.095611125,-0.3880396,0.35935542,0.09556141,-0.39655483,0.49574018,0.095310144,-0.4505704,0.27577624,0.077956855,-0.5935621,0.43823668,0.056314044,-0.63368154,0.509751,0.046024192,-0.64907855,0.54491305,0.043781046,-0.43146744,0.31924814,0.031781793,-0.479947,0.64722943,0.017791677,-0.47347748,0.7916759,0.01961198,-0.47877595,0.87771845,0.019592375,-0.3701668,0.35191944,-0.013534013,-0.34508163,0.65754765,-0.025160452,-0.26066718,0.6175131,-0.010224727,-0.23130827,0.53896624,0.00041403112,-0.28185815,0.38402656,-0.054830406,-0.22694848,0.59466153,-0.06084661,-0.17134127,0.54791844,-0.050052587,-0.16781889,0.4662607,-0.040454924,P
0.0,0.0,0.0,-0.1828469,0.070335336,0.06747899,-0.34623522,0.26722717,0.08895613,-0.43507293,0.49120617,0.08512693,-0.46960926,0.6610094,0.08711227,-0.56957483,0.25477952,0.09477785,-0.79560417,0.38325623,0.055153497,-0.808949,0.5275023,0.04028783,-0.7616874,0.5987025,0.039818726,-0.5737429,0.31229872,0.046483327,-0.630352,0.7126586,0.008176624,-0.54323727,0.8394532,0.014539065,-0.48923245,0.8577015,0.028755432,-0.5255369,0.3785771,-0.006576433,-0.49863878,0.7832531,-0.048671458,-0.3532707,0.74598914,-0.030961495,-0.28480527,0.64042,-0.008972615,-0.43956542,0.4542255,-0.05622192,-0.34560388,0.76044667,-0.09160898,-0.22834073,0.7174345,-0.08791552,-0.188852,0.6176444,-0.07468379,P
0.0,0.0,0.0,-0.18955828,0.028958695,0.05344949,-0.3304917,0.18326187,0.07026299,-0.40185726,0.37576517,0.06499378,-0.41237083,0.52055323,0.059775554,-0.47119448,0.2757921,0.08125627,-0.61212367,0.41009355,0.061319288,-0.6705657,0.4631881,0.05151026,-0.7110553,0.489274,0.04644608,-0.462081,0.33114928,0.040673967,-0.49778977,0.67698,0.014028627,-0.4835045,0.79862314,0.008874457,-0.4959032,0.86833656,0.008465797,-0.40710783,0.3796113,-0.0012015187,-0.35415354,0.6834044,-0.031708207,-0.26347443,0.62321675,-0.028644873,-0.23845552,0.5355789,-0.020239875,-0.3230666,0.42854708,-0.04029769,-0.24620785,0.642116,-0.06451615,-0.18191876,0.57766706,-0.06398077,-0.17621243,0.49189392,-0.057730816,P
0.0,0.0,0.0,-0.16766466,0.067854725,0.07255396,-0.2852781,0.24935888,0.09344743,-0.34152806,0.43803072,0.090901285,-0.34222704,0.586331,0.088982865,-0.42098495,0.3270045,0.07490187,-0.55321604,0.5343944,0.048710085,-0.5635091,0.65452355,0.038791604,-0.55247587,0.72503555,0.03796795,-0.40292147,0.36795074,0.025177337,-0.44226444,0.68906945,0.0062820627,-0.4146439,0.8328724,0.0093842335,-0.40434343,0.91451234,0.0131784,-0.3456572,0.40055835,-0.02445956,-0.2788479,0.69547486,-0.039988328,-0.19266585,0.6349149,-0.026903037,-0.1719184,0.53981423,-0.016742816,-0.2608398,0.43179756,-0.070293374,-0.1746062,0.62951314,-0.08028645,-0.11323232,0.56771517,-0.07108458,-0.11375282,0.47814175,-0.062083326,P
0.0,0.0,0.0,-0.10172362,0.17778689,0.03443402,-0.18207212,0.4071805,0.02919812,-0.20579542,0.62229145,0.009475581,-0.21255748,0.7813977,-0.00469849,-0.38972312,0.3792792,0.00579335,-0.51474804,0.6081294,-0.059895366,-0.46432903,0.7698278,-0.09015629,-0.3834269,0.84835565,-0.09744767,-0.3789115,0.37417468,-0.036760364,-0.40683246,0.7405872,-0.08458178,-0.34269384,0.89406544,-0.0862451,-0.2954612,0.9518498,-0.081759535,-0.3225301,0.37500936,-0.08306884,-0.1935307,0.69295573,-0.1197745,-0.10520843,0.6233659,-0.10236252,-0.09358049,0.5196653,-0.086907014,-0.23503959,0.3802745,-0.12921287,-0.09277435,0.5894484,-0.15669045,-0.016738234,0.5291516,-0.14707099,-0.020974074,0.4441711,-0.13607539,P
0.0,0.0,0.0,-0.1531216,0.13743944,0.05336544,-0.25179213,0.37052393,0.053480063,-0.2736815,0.6147693,0.035101242,-0.25740713,0.7892485,0.01987901,-0.43396232,0.41947845,0.007496,-0.55792916,0.69908726,-0.055594128,-0.48884225,0.8553899,-0.082515635,-0.39058152,0.9160235,-0.09136256,-0.41186535,0.41978347,-0.03977956,-0.29966083,0.8038889,-0.08993433,-0.20324989,0.7743022,-0.08168257,-0.18661678,0.68129647,-0.07452436,-0.33988285,0.42420855,-0.088527344,-0.16506796,0.7500609,-0.12727852,-0.0868704,0.6551786,-0.10170607,-0.09802689,0.55148077,-0.08668156,-0.2406082,0.42926332,-0.13481426,-0.08088498,0.6563865,-0.16513138,-0.009245826,0.5738076,-0.15333213,-0.021108756,0.48251593,-0.14170621,P
0.0,0.0,0.0,-0.124995776,0.15888475,0.05107902,-0.23068407,0.3922116,0.05276629,-0.2838355,0.6149146,0.033322606,-0.30293128,0.77620125,0.019474199,-0.44872418,0.34886897,0.035454053,-0.6065888,0.5853035,-0.041419815,-0.56209356,0.7815358,-0.077838264,-0.4776427,0.8743918,-0.08541915,-0.45230836,0.35425612,-0.0187159,-0.6002038,0.6844003,-0.09382036,-0.5282568,0.8374263,-0.105439134,-0.4415519,0.8687068,-0.09015621,-0.39906865,0.38473988,-0.07649714,-0.31272635,0.74182767,-0.12776613,-0.18843554,0.7000865,-0.11472993,-0.15504386,0.5938088,-0.0908356,-0.30435225,0.42493773,-0.13261472,-0.15969394,0.6656359,-0.15994994,-0.06769823,0.609678,-0.15063067,-0.0668087,0.51241726,-0.13491037,P
0.0,0.0,0.0,-0.123200856,0.13181977,0.047307167,-0.21377873,0.35108182,0.04915004,-0.24102473,0.5757727,0.03264572,-0.23875685,0.7415418,0.020157717,-0.40820566,0.3661528,0.014338834,-0.55012137,0.59797853,-0.04597123,-0.5000732,0.76305234,-0.06975961,-0.41575295,0.8412,-0.07309295,-0.3981577,0.3750541,-0.03098877,-0.4255478,0.7521602,-0.07685457,-0.3582212,0.9021456,-0.07537617,-0.30923432,0.94848615,-0.068906695,-0.3425851,0.38681984,-0.07852355,-0.21037774,0.7129809,-0.10910511,-0.1235986,0.6439113,-0.090807565,-0.11327011,0.5359478,-0.07702051,-0.25633362,0.40216967,-0.12522368,-0.11625802,0.6145719,-0.14534068,-0.04199963,0.55063176,-0.13467154,-0.047402866,0.4585871,-0.124509,P
