l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,0.0050104368,-0.28401697,-0.032748934,-0.041665394,-0.52338666,-0.0635104,-0.07053678,-0.75287265,-0.09451257,-0.06246335,-0.92365444,-0.12575115,-0.3918401,-0.46588716,-0.04245503,-0.6051799,-0.5322527,-0.053400565,-0.7385007,-0.54013085,-0.06539459,-0.83991057,-0.53742677,-0.075648464,-0.46569094,-0.3188765,-0.033020753,-0.48166227,-0.32701352,-0.030095456,-0.40478772,-0.31149805,-0.01935165,-0.3335887,-0.29391414,-0.0150250085,-0.47423455,-0.15972596,-0.023219714,-0.45687115,-0.19527762,-0.020759232,-0.39031607,-0.17375796,-0.004807167,-0.32903346,-0.14841846,0.003486227,-0.46771073,-0.02183162,-0.017445693,-0.4451221,-0.060185663,-0.0034975966,-0.37896374,-0.046385176,0.021142734,-0.32018715,-0.035793174,0.042018812,S
0.0,0.0,0.0,-0.013947311,-0.29555807,-0.00403547,-0.07521974,-0.52017576,-0.026870709,-0.11086624,-0.7491247,-0.054640427,-0.08956832,-0.9244446,-0.08410341,-0.4057307,-0.45506838,-0.025219917,-0.63810384,-0.50213486,-0.029443685,-0.77420133,-0.49330506,-0.035898827,-0.8779944,-0.47684753,-0.04174009,-0.4751368,-0.29998466,-0.026011128,-0.52287215,-0.33031836,-0.005916818,-0.44836703,-0.3181587,0.018557625,-0.37309018,-0.29970178,0.029067036,-0.4796794,-0.13589376,-0.023991544,-0.48571205,-0.19851582,-0.0019598105,-0.42193788,-0.17819573,0.023584219,-0.35537434,-0.14782053,0.032834873,-0.47006604,0.0037304396,-0.023839805,-0.4611551,-0.05830421,0.010190435,-0.3958114,-0.04822335,0.04483906,-0.33474004,-0.03599593,0.067882344,S
0.0,0.0,0.0,-0.009042678,-0.3007466,-0.0070039886,-0.06732312,-0.528878,-0.02558518,-0.09758068,-0.7655205,-0.0470991,-0.08099008,-0.9375292,-0.068289585,-0.3998261,-0.47146198,-0.023299152,-0.627819,-0.5298839,-0.024982082,-0.7599586,-0.5227369,-0.02986117,-0.8601718,-0.508833,-0.034546126,-0.47406012,-0.30606148,-0.017963486,-0.5096385,-0.38255033,0.002859219,-0.42914924,-0.3783508,0.025415806,-0.35342294,-0.35346368,0.034757003,-0.47924224,-0.14487806,-0.00990432,-0.47766435,-0.25068972,0.012342887,-0.40963534,-0.23156852,0.036125436,-0.34547096,-0.19014667,0.044636555,-0.46984562,-0.011514614,-0.003674422,-0.45447737,-0.11571516,0.02825744,-0.38776386,-0.101537846,0.060078595,-0.32990307,-0.07537104,0.08155864,S
0.0,0.0,0.0,0.005225761,-0.2966501,-0.021055194,-0.04555672,-0.5392228,-0.047627416,-0.07920271,-0.7797124,-0.07684463,-0.06808545,-0.9568245,-0.10636311,-0.38937154,-0.4856178,-0.0235681,-0.60736984,-0.5494659,-0.027254172,-0.7417005,-0.5477413,-0.03566484,-0.84212375,-0.5375246,-0.043530103,-0.46632594,-0.3282054,-0.016435726,-0.46665776,-0.36401433,-0.005812388,-0.38243484,-0.34810495,0.0075510973,-0.31013635,-0.32491335,0.013464301,-0.4767839,-0.16323936,-0.008361717,-0.44829386,-0.23149097,0.003011632,-0.377668,-0.20623991,0.020239724,-0.31708622,-0.1716774,0.02810918,-0.47274953,-0.024595128,-0.0034055116,-0.4454459,-0.09348175,0.020821488,-0.37750587,-0.07558671,0.048859082,-0.319755,-0.059573255,0.07048495,S
0.0,0.0,0.0,0.006119351,-0.30330515,-0.03483804,-0.03809167,-0.5534574,-0.07258921,-0.0765326,-0.79524314,-0.11159221,-0.07235135,-0.9761034,-0.14948563,-0.38499108,-0.49288464,-0.043782707,-0.5976664,-0.5623026,-0.05898637,-0.7291133,-0.5629435,-0.07530575,-0.8274528,-0.5543652,-0.089449175,-0.46629626,-0.33082014,-0.036096115,-0.4574035,-0.4081055,-0.040569272,-0.36855793,-0.39350006,-0.032387387,-0.30179217,-0.35916927,-0.029629398,-0.47789687,-0.1672646,-0.028463287,-0.4486695,-0.26692066,-0.028595528,-0.37700567,-0.24263903,-0.0063375845,-0.31886977,-0.19802453,0.005271519,-0.47084823,-0.030852973,-0.025573026,-0.44506907,-0.12330931,-0.010848547,-0.37952986,-0.107363306,0.019385513,-0.32613328,-0.07839293,0.043306183,S
0.0,0.0,0.0,-0.007941983,-0.29345968,-0.018613983,-0.072133236,-0.5360129,-0.04423456,-0.11098281,-0.7741565,-0.0731644,-0.09657203,-0.9535801,-0.1024078,-0.3994851,-0.46996838,-0.032252338,-0.6261079,-0.5201316,-0.044845752,-0.76326615,-0.51190054,-0.05738749,-0.8656657,-0.4960987,-0.06714866,-0.46955237,-0.31736758,-0.028902642,-0.48934317,-0.34300342,-0.026878959,-0.40993097,-0.32927534,-0.013538862,-0.33659175,-0.31178892,-0.00687484,-0.4770032,-0.1559461,-0.024367992,-0.46311352,-0.2136045,-0.019929534,-0.39573604,-0.19014208,0.00098554,-0.3327155,-0.1608598,0.012144203,-0.47028887,-0.015755173,-0.022907533,-0.44699267,-0.07512743,-0.0029724524,-0.38018665,-0.06018177,0.027375171,-0.32279363,-0.047980834,0.051115986,S
0.0,0.0,0.0,-0.021022227,-0.30595747,0.016998606,-0.1009836,-0.53616047,0.011165172,-0.16191086,-0.7679582,-0.0017259433,-0.15088493,-0.94588625,-0.015862826,-0.40895092,-0.47279468,0.00733562,-0.6429577,-0.5125948,0.016486866,-0.7783683,-0.4949436,0.017156001,-0.88015413,-0.4744034,0.016436819,-0.4782007,-0.3082548,0.005608546,-0.52914214,-0.36887303,0.040365275,-0.45133215,-0.36683407,0.06940737,-0.37146437,-0.34822538,0.08306903,-0.4836757,-0.14359926,0.008194907,-0.4949653,-0.23848669,0.045389846,-0.42692932,-0.2212987,0.07276107,-0.35732362,-0.18389909,0.08124916,-0.47520736,-0.0056392625,0.010742564,-0.46510652,-0.09609318,0.05712523,-0.3969321,-0.088651106,0.09353059,-0.3336676,-0.07146602,0.11601352,S
0.0,0.0,0.0,-0.020514958,-0.30138698,-0.0015142342,-0.096161194,-0.52989966,-0.019749632,-0.14949779,-0.7616175,-0.04318171,-0.13329083,-0.9411975,-0.06793548,-0.41277045,-0.467273,-0.022724753,-0.6436304,-0.50872445,-0.02953933,-0.7787174,-0.49326998,-0.038427517,-0.87943834,-0.47385368,-0.045287434,-0.48341876,-0.3039743,-0.023310125,-0.51599777,-0.330048,-0.008936922,-0.4371068,-0.31977105,0.0119479615,-0.35955897,-0.3034845,0.02157911,-0.48765457,-0.13455236,-0.020932784,-0.48062995,-0.19565311,-0.0050022453,-0.41353074,-0.1742167,0.017604183,-0.3468933,-0.14275575,0.026874168,-0.47768635,0.010614342,-0.01993243,-0.4578128,-0.053922854,0.010343276,-0.38925678,-0.041785624,0.042676177,-0.32819614,-0.028689004,0.06522557,S
0.0,0.0,0.0,-0.011618388,-0.30095232,-0.00038738633,-0.09139213,-0.535423,-0.014044724,-0.14835516,-0.76574826,-0.032293465,-0.13058372,-0.9442902,-0.052050672,-0.4013568,-0.47690153,-0.015016775,-0.6326403,-0.5212495,-0.015282313,-0.77061063,-0.5067322,-0.019915342,-0.8738659,-0.4855453,-0.024582215,-0.47370386,-0.32121578,-0.01312498,-0.4984345,-0.3442277,0.0053370786,-0.41984206,-0.33362177,0.02625567,-0.34540686,-0.3177752,0.03643887,-0.4843487,-0.15520349,-0.007914848,-0.47283003,-0.20914987,0.012051415,-0.4058941,-0.18867089,0.032845322,-0.34095266,-0.15886699,0.04107613,-0.48285338,-0.01143771,-0.0038987878,-0.46027082,-0.06781059,0.028087351,-0.39186203,-0.054722797,0.058732327,-0.33137578,-0.04292981,0.08061748,S
0.0,0.0,0.0,-0.009162577,-0.3059888,-0.0063912105,-0.08208244,-0.55196875,-0.021885023,-0.13376081,-0.7901836,-0.04172523,-0.11956401,-0.9753114,-0.061709236,-0.40179703,-0.4843747,-0.011599931,-0.6237281,-0.5418619,-0.012923455,-0.7551737,-0.5349967,-0.0195983,-0.85314906,-0.5210234,-0.025910279,-0.47548357,-0.32228425,-0.007918655,-0.48134774,-0.3969971,0.008231456,-0.3973659,-0.3879682,0.026440497,-0.32776672,-0.36043012,0.034714144,-0.48192695,-0.16021189,-0.002255791,-0.45805523,-0.2595617,0.013956155,-0.38656503,-0.23770125,0.035560794,-0.32705382,-0.19795358,0.04481663,-0.472972,-0.024260871,0.001597823,-0.4477428,-0.11525658,0.030502416,-0.3798142,-0.098485105,0.062614605,-0.3242597,-0.075280264,0.085533686,S
0.0,0.0,0.0,0.0026033362,-0.3050813,-0.013142123,-0.06302901,-0.5608295,-0.033764847,-0.119306214,-0.79824626,-0.056780707,-0.1076005,-0.9838892,-0.079877496,-0.38745484,-0.50519747,-0.011930957,-0.59667134,-0.583383,-0.0045422423,-0.7218586,-0.58670104,-0.0065758633,-0.81424105,-0.58042026,-0.011131651,-0.4674817,-0.35023722,-0.002958277,-0.45584658,-0.42888623,0.025128262,-0.37135664,-0.4144066,0.044373613,-0.30778134,-0.3819982,0.050683316,-0.47936502,-0.19265969,0.008238044,-0.44576114,-0.28718337,0.037917774,-0.37404495,-0.263666,0.05947807,-0.31829482,-0.22146103,0.06513384,-0.47495693,-0.059893135,0.016836926,-0.44472167,-0.14535208,0.057275187,-0.37818202,-0.12991264,0.09058514,-0.32349572,-0.10434934,0.11214983,S
0.0,0.0,0.0,0.025690451,-0.29282284,0.033206124,-0.018778794,-0.5319205,0.047440004,-0.05906515,-0.7412141,0.05650292,-0.04229096,-0.88451904,0.06276668,-0.3224364,-0.51589644,0.05106897,-0.5087186,-0.62502277,0.10742974,-0.62084156,-0.6647031,0.14058612,-0.70153576,-0.6944552,0.15993558,-0.40225115,-0.37700507,0.062631436,-0.40398002,-0.4945772,0.15390772,-0.3268788,-0.47904676,0.20034005,-0.26622903,-0.44369993,0.21983027,-0.41814983,-0.23969786,0.08151431,-0.39480004,-0.3588617,0.16943707,-0.324588,-0.33115503,0.1923122,-0.27191752,-0.28107226,0.18834381,-0.42231503,-0.12511212,0.10276902,-0.3940115,-0.2182596,0.18719512,-0.33155417,-0.203264,0.22243981,-0.280312,-0.17039962,0.23673512,S
