l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,0.0025912384,-0.20606153,0.021566425,-0.056588087,-0.3926364,0.0024624532,-0.15534237,-0.5079353,-0.02416043,-0.24704283,-0.5552882,-0.056436606,-0.017147776,-0.5268152,-0.05151864,-0.06902578,-0.74574155,-0.09710044,-0.09709103,-0.87761146,-0.114211,-0.10767019,-0.98630697,-0.12492271,-0.0444426,-0.46890387,-0.088627145,-0.2283081,-0.62140137,-0.15063196,-0.2910667,-0.54293007,-0.1471514,-0.28891298,-0.4671797,-0.13306952,-0.09308276,-0.37872076,-0.12164954,-0.27535474,-0.432538,-0.1699489,-0.28342178,-0.35006797,-0.14537361,-0.23948276,-0.30688357,-0.11945372,-0.14640683,-0.2826932,-0.15234514,-0.2952647,-0.30467463,-0.17813104,-0.2933875,-0.2422667,-0.1595889,-0.2488857,-0.2169743,-0.13997088,T
0.0,0.0,0.0,0.008344832,-0.21331307,0.023177432,-0.04675775,-0.40449885,0.013801148,-0.13934563,-0.51196444,-0.001897112,-0.2328351,-0.53649867,-0.02383527,-0.04849162,-0.5289069,-0.040864818,-0.13938433,-0.7425947,-0.07957694,-0.19246665,-0.86780846,-0.09104184,-0.22398889,-0.96972185,-0.09730666,-0.08934977,-0.47680697,-0.07321493,-0.28901666,-0.6138955,-0.12883326,-0.33286354,-0.51491416,-0.121429235,-0.31178078,-0.4322489,-0.10226175,-0.14239353,-0.38813314,-0.101361744,-0.32792655,-0.4291388,-0.14511967,-0.32880762,-0.34008953,-0.12081428,-0.2810006,-0.29805523,-0.09342193,-0.19667847,-0.28826648,-0.12669812,-0.34511602,-0.30376062,-0.1487736,-0.3361917,-0.2375342,-0.1279633,-0.28966302,-0.21145543,-0.10521682,T
0.0,0.0,0.0,0.021917442,-0.21343283,0.018980097,-0.018800829,-0.40444827,0.006268372,-0.10443113,-0.5198222,-0.012883639,-0.1945978,-0.55583686,-0.03812356,-0.0071441666,-0.51911926,-0.044116907,-0.04688382,-0.7475634,-0.08586365,-0.07138694,-0.88290685,-0.100345306,-0.08082716,-0.99084467,-0.10813803,-0.04872855,-0.46975073,-0.07474731,-0.2283876,-0.630743,-0.13499272,-0.28908747,-0.5497045,-0.13199237,-0.28606865,-0.4670578,-0.11539262,-0.107335106,-0.38750646,-0.10147643,-0.28587362,-0.44734108,-0.14894256,-0.29508957,-0.3631592,-0.12750635,-0.25443724,-0.31384397,-0.10057984,-0.16683704,-0.29813662,-0.12581506,-0.31164515,-0.32733488,-0.15037519,-0.31064543,-0.26508355,-0.13235007,-0.27087417,-0.23557441,-0.11080934,T
0.0,0.0,0.0,-0.0127783585,-0.22132681,0.039522354,-0.05499713,-0.41976297,0.02715325,-0.1287442,-0.55481327,0.0022845767,-0.20187491,-0.6284963,-0.027729629,0.048686918,-0.5398964,-0.021781119,0.053580023,-0.75787514,-0.061723433,0.06125204,-0.8880597,-0.07621564,0.0790977,-0.9931944,-0.085489295,0.02782604,-0.49807337,-0.06866725,-0.12882686,-0.69264567,-0.12645717,-0.21293789,-0.6346205,-0.124826215,-0.2326244,-0.5550085,-0.11222045,-0.02754596,-0.4319707,-0.11130408,-0.21015795,-0.5186805,-0.15248817,-0.2398241,-0.429177,-0.12848759,-0.20962484,-0.3685203,-0.10482396,-0.094444245,-0.35878155,-0.1509684,-0.24831231,-0.40525135,-0.17269967,-0.2608607,-0.3299226,-0.1544934,-0.22352855,-0.28810367,-0.13580565,T
0.0,0.0,0.0,0.006240279,-0.23417744,0.1210547,-0.025160966,-0.4061807,0.12339136,-0.09000437,-0.5267003,0.09823516,-0.17042206,-0.6045895,0.061830994,0.04901718,-0.5301847,0.011893324,0.022554833,-0.7606888,-0.00065070397,0.0063479813,-0.8940746,0.0055446243,0.0033182295,-0.99995816,0.008521702,0.015044725,-0.4845858,-0.07011625,-0.13806485,-0.6870185,-0.080353275,-0.21627024,-0.61361057,-0.043028086,-0.22907816,-0.5371916,-0.016800636,-0.04644142,-0.4246528,-0.13968636,-0.21860118,-0.5101249,-0.11855919,-0.24261329,-0.4053176,-0.06522996,-0.20723103,-0.34030032,-0.043613803,-0.11575565,-0.36413747,-0.20180729,-0.26322502,-0.39526007,-0.16867885,-0.27559948,-0.31174484,-0.12691297,-0.23790285,-0.2656751,-0.10620671,T
0.0,0.0,0.0,0.022758534,-0.22527875,0.08443794,-0.0045247874,-0.42919064,0.09238811,-0.075852156,-0.5707481,0.077967465,-0.15977353,-0.6307055,0.05442839,0.03908611,-0.5791835,0.025617914,-0.051212315,-0.7827502,0.012015994,-0.09821813,-0.89168906,0.015232055,-0.12442612,-0.99213225,0.013847882,0.00874589,-0.5501915,-0.039955623,-0.20464681,-0.7138002,-0.06560516,-0.2633922,-0.6089753,-0.04486876,-0.25545678,-0.5191777,-0.025312575,-0.051020928,-0.48749873,-0.098452136,-0.25879395,-0.5293966,-0.11099983,-0.2711521,-0.40727353,-0.08052897,-0.2270253,-0.34741446,-0.06334412,-0.1225307,-0.41407812,-0.1513194,-0.28543428,-0.4165564,-0.15662324,-0.2888733,-0.31748158,-0.13844672,-0.24790365,-0.2726991,-0.12658429,T
0.0,0.0,0.0,0.0013259554,-0.2187669,0.089540504,-0.034368563,-0.38556993,0.08836047,-0.10042374,-0.50215775,0.062986225,-0.1803677,-0.5604206,0.027338443,0.009213745,-0.5249253,0.009967842,-0.03331781,-0.75887674,-0.010235467,-0.053547427,-0.8883512,-0.010577746,-0.061228387,-0.99804735,-0.012356925,-0.011516502,-0.4935931,-0.056736216,-0.20600268,-0.6333894,-0.08403831,-0.27489528,-0.5442958,-0.062409207,-0.28230032,-0.46018332,-0.043719705,-0.06468302,-0.43317333,-0.11534413,-0.2542423,-0.44813573,-0.11813567,-0.26256633,-0.3383163,-0.088980384,-0.2199574,-0.27997568,-0.07729727,-0.12524085,-0.37014338,-0.16844614,-0.2732492,-0.34225255,-0.16149345,-0.27487198,-0.25148383,-0.14315386,-0.23695195,-0.21045215,-0.13431643,T
0.0,0.0,0.0,0.0012065215,-0.21802786,0.08739058,-0.036540385,-0.38377324,0.08817104,-0.10355296,-0.49600655,0.06549455,-0.18317445,-0.5493418,0.03329582,-0.0035164685,-0.5322182,0.013466196,-0.049070172,-0.75768715,-0.0074571157,-0.071499586,-0.8892296,-0.00853126,-0.08064096,-0.9966903,-0.010273613,-0.026849499,-0.49790865,-0.052318238,-0.22141173,-0.62785715,-0.078035116,-0.2825176,-0.5293654,-0.05523696,-0.28077278,-0.44802237,-0.03554138,-0.07942692,-0.43247798,-0.11082143,-0.26146063,-0.44575837,-0.11541652,-0.26984447,-0.33826366,-0.083763614,-0.22816388,-0.2851828,-0.068975925,-0.13859908,-0.36256483,-0.16389956,-0.28462732,-0.34061274,-0.15828557,-0.2847032,-0.25426874,-0.13693611,-0.2473128,-0.21568571,-0.12476141,T
0.0,0.0,0.0,0.003366336,-0.22279426,0.07807863,-0.036866453,-0.38864914,0.07827651,-0.10951691,-0.4969546,0.0567184,-0.19269034,-0.5390814,0.025818115,-0.013813669,-0.52701753,0.01337158,-0.05785774,-0.7548767,-0.008748753,-0.07959568,-0.8860301,-0.011204816,-0.08872873,-0.9959618,-0.013686001,-0.041733976,-0.4947318,-0.047012366,-0.2329644,-0.616195,-0.07978739,-0.28927335,-0.5115155,-0.062714495,-0.28424793,-0.4267638,-0.044049762,-0.09496462,-0.43100005,-0.10076829,-0.27176094,-0.43317083,-0.113777325,-0.2743716,-0.32133663,-0.08702828,-0.23018514,-0.27054188,-0.07134706,-0.15162823,-0.36270553,-0.14928891,-0.2937945,-0.33828214,-0.14884432,-0.2884636,-0.24536745,-0.12825572,-0.24714343,-0.20612499,-0.113976076,T
0.0,0.0,0.0,-0.00069426495,-0.21189566,0.05837705,-0.04232297,-0.38857788,0.05866633,-0.1139167,-0.50467825,0.041076686,-0.1940456,-0.55447227,0.016623499,-0.01744524,-0.5378136,0.009124207,-0.07243445,-0.75644726,-0.019076426,-0.098744154,-0.8843705,-0.02616724,-0.111948855,-0.993191,-0.032234836,-0.04364806,-0.50983685,-0.041804157,-0.24523938,-0.62923676,-0.08628967,-0.29453447,-0.5257575,-0.075804554,-0.28252208,-0.4464965,-0.059439685,-0.09505689,-0.445851,-0.08855633,-0.28136733,-0.45127523,-0.118943274,-0.28273544,-0.3411866,-0.09612593,-0.2371001,-0.2926607,-0.077575184,-0.15296717,-0.3725209,-0.13142434,-0.29802263,-0.3503083,-0.14799064,-0.2914756,-0.25897664,-0.13423263,-0.24843405,-0.22414845,-0.120952584,T
