l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.0,0.0,0.0,-0.19876114,-0.14526999,0.046660624,-0.39392343,-0.115836,0.051954083,-0.47457275,-0.0072579533,0.039639268,-0.5048445,0.11541432,0.02177211,-0.5072785,-0.12708835,0.009018016,-0.7102619,-0.173323,-0.015291455,-0.8291433,-0.20581807,-0.0304759,-0.92106724,-0.23398906,-0.03594323,-0.5118953,0.021309774,-0.031990424,-0.74123716,0.026708597,-0.045090076,-0.8876422,0.026334453,-0.053929035,-0.99771273,0.030928062,-0.060106337,-0.4703597,0.17284116,-0.06652688,-0.6206758,0.24287945,-0.07728611,-0.5493398,0.21370474,-0.061191358,-0.47377044,0.1852557,-0.041725084,-0.40085858,0.3042844,-0.09770673,-0.5049205,0.35667717,-0.090347655,-0.45948973,0.32352713,-0.054044437,-0.40724808,0.2933883,-0.021511229,V
0.0,0.0,0.0,-0.18821438,-0.1772361,0.053860147,-0.3820067,-0.16553362,0.06752866,-0.47623685,-0.06240049,0.06432914,-0.51483625,0.055071555,0.05506137,-0.51172465,-0.15437932,0.019709826,-0.71480525,-0.21221669,0.0060516163,-0.8335121,-0.25048488,-0.0038770852,-0.9242514,-0.2828265,-0.005913859,-0.5206579,0.005008768,-0.017268004,-0.7473153,-0.00087727216,-0.016052883,-0.8940335,-0.005295677,-0.01949898,-0.99971837,-0.0015490128,-0.02367942,-0.48052305,0.16304548,-0.04632793,-0.6271306,0.2021695,-0.039287504,-0.5618107,0.15947215,-0.019989856,-0.4857536,0.13139081,-0.0023567216,-0.41114047,0.2938647,-0.07178968,-0.5141374,0.31588355,-0.049628586,-0.4702967,0.2757471,-0.008949751,-0.4147652,0.25021556,0.024867147,V
0.0,0.0,0.0,-0.20143053,-0.14402929,0.05890923,-0.3968601,-0.12912612,0.06478628,-0.48189908,-0.031005044,0.05026109,-0.5196711,0.08908882,0.030178616,-0.50174266,-0.16613492,0.01634613,-0.7081156,-0.18445256,-0.007706926,-0.82751703,-0.20540473,-0.021460593,-0.92253673,-0.2210766,-0.027498743,-0.50664234,-0.035168674,-0.033729102,-0.7401135,-0.059455495,-0.052583944,-0.8819422,-0.07902205,-0.06379496,-0.9934678,-0.08909266,-0.07130309,-0.47161657,0.116364375,-0.076064244,-0.64293706,0.2117618,-0.09153104,-0.56426686,0.20276295,-0.069830045,-0.48888844,0.17897558,-0.046699855,-0.40960824,0.2619792,-0.11402032,-0.5340265,0.33784792,-0.11115676,-0.47682387,0.315953,-0.07110704,-0.41832206,0.2835616,-0.03617123,V
0.0,0.0,0.0,-0.19681588,-0.14597957,0.057596207,-0.39147383,-0.12869905,0.063550524,-0.48023534,-0.027278261,0.05039119,-0.5213955,0.09718847,0.03126845,-0.49745905,-0.15062487,0.009380753,-0.7080973,-0.17270295,-0.012916053,-0.8280133,-0.1931996,-0.024451153,-0.92166185,-0.20872657,-0.027831074,-0.5008361,-0.012229963,-0.038165573,-0.7411528,-0.02793197,-0.052044127,-0.8868861,-0.04168774,-0.05957955,-0.99688584,-0.04507599,-0.06470584,-0.46344575,0.13929898,-0.07733641,-0.63803977,0.22179666,-0.08830902,-0.5674674,0.2014879,-0.06659447,-0.49226296,0.17546158,-0.04407795,-0.39870596,0.27912307,-0.112022,-0.52564156,0.34310302,-0.10726027,-0.47529823,0.3122196,-0.06732527,-0.4170581,0.279175,-0.03214155,V
0.0,0.0,0.0,-0.18885028,-0.18175294,0.031231062,-0.38614702,-0.14831167,0.04047266,-0.4898905,-0.03090794,0.039428618,-0.5328338,0.08385695,0.035312466,-0.51148504,-0.10748428,0.0031108914,-0.727038,-0.14225198,-0.0071707913,-0.8489613,-0.14982241,-0.011717868,-0.93884647,-0.14631127,-0.010511779,-0.50700027,0.065657884,-0.022399634,-0.7397302,0.09835042,-0.02477304,-0.8845204,0.11940129,-0.026260626,-0.98881495,0.1467778,-0.026483115,-0.45659295,0.2177335,-0.041616384,-0.60520715,0.24271756,-0.040424798,-0.5512733,0.18006818,-0.024443025,-0.48009163,0.14529526,-0.006850706,-0.3832627,0.32926887,-0.058710326,-0.48749328,0.32941884,-0.040587112,-0.45607612,0.27725485,-0.004701663,-0.40707314,0.24813955,0.026595496,V
0.0,0.0,0.0,-0.19199352,-0.16685638,0.06615574,-0.38222384,-0.13776517,0.09175071,-0.48510233,-0.03163625,0.1009241,-0.52874553,0.083305165,0.105826475,-0.51055217,-0.11607094,0.042261988,-0.7323158,-0.1554247,0.045105286,-0.85731506,-0.1719466,0.04608293,-0.9548169,-0.17964083,0.050211813,-0.512934,0.052681945,0.007067004,-0.75006413,0.059087228,0.023749776,-0.89487594,0.0625372,0.02959853,-0.99665207,0.07549474,0.03138962,-0.46677503,0.20673662,-0.019214809,-0.62490207,0.23417379,0.0077650407,-0.563424,0.1789387,0.0347297,-0.49056274,0.1502324,0.054290764,-0.39326507,0.32485884,-0.04147211,-0.50794196,0.33814725,-0.00022781116,-0.4694672,0.29200327,0.04726994,-0.41632363,0.26482987,0.083494306,V
0.0,0.0,0.0,-0.1997599,-0.1374015,0.043805048,-0.40255108,-0.11050243,0.040857263,-0.4936706,0.0052650077,0.021669757,-0.53553444,0.13378567,-0.00345416,-0.49459794,-0.14553669,-0.0145236235,-0.7123915,-0.16439246,-0.046986073,-0.8355184,-0.18822251,-0.063009724,-0.93294716,-0.20680338,-0.06798052,-0.49079335,-0.01020749,-0.058228258,-0.7332639,-0.021150278,-0.08069022,-0.88029695,-0.033764873,-0.090063296,-0.9947687,-0.03505098,-0.095952235,-0.4507697,0.13955532,-0.09437992,-0.62965745,0.23123632,-0.116085745,-0.5610175,0.21323095,-0.09699499,-0.48534518,0.18787113,-0.07393545,-0.38688686,0.28231874,-0.12641715,-0.524431,0.3506353,-0.12820232,-0.47675785,0.31856498,-0.08968479,-0.41647384,0.28548348,-0.054876868,V
0.0,0.0,0.0,-0.19603087,-0.1450217,0.04774975,-0.397181,-0.12663503,0.049715225,-0.48951665,-0.019416599,0.034765303,-0.53712904,0.105863206,0.014334297,-0.49858862,-0.16427065,-0.00077860075,-0.7057542,-0.20779458,-0.028673124,-0.8245728,-0.23966847,-0.043649446,-0.917899,-0.26511464,-0.049235586,-0.5067804,-0.02822686,-0.044993684,-0.74380285,-0.051382806,-0.062965095,-0.8845645,-0.071475275,-0.071650006,-0.9937101,-0.08064525,-0.0776959,-0.4735472,0.12134362,-0.082015686,-0.6429766,0.20106666,-0.09716155,-0.5707293,0.18576741,-0.07726509,-0.49614325,0.1640593,-0.055970464,-0.41212198,0.26220298,-0.11533104,-0.53738743,0.32223856,-0.11344847,-0.4872379,0.29474956,-0.0754974,-0.43057445,0.2660512,-0.042148422,V
0.0,0.0,0.0,-0.19719614,-0.17485046,0.058940858,-0.39099765,-0.15172072,0.07715585,-0.4951491,-0.041685093,0.07999625,-0.5402353,0.07469689,0.07829881,-0.51046526,-0.12952627,0.029680738,-0.72944105,-0.17564574,0.0296018,-0.85150814,-0.20045285,0.028822262,-0.948928,-0.21773982,0.031102765,-0.5115507,0.041798513,-0.00560767,-0.751353,0.04612231,0.0060381675,-0.89545244,0.04145198,0.010238782,-0.99871707,0.049542047,0.010478669,-0.46636027,0.19837053,-0.032204695,-0.63669115,0.22125594,-0.012473041,-0.5787488,0.1598746,0.011742184,-0.5034542,0.1300022,0.02994804,-0.39589632,0.31540447,-0.054967564,-0.52456945,0.32503787,-0.020740053,-0.4907155,0.2726342,0.024339298,-0.43434682,0.24372879,0.05911548,V
0.0,0.0,0.0,-0.19922978,-0.15379083,0.049175058,-0.3962627,-0.1243634,0.05758977,-0.49344468,-0.011464241,0.051028956,-0.532679,0.11289225,0.039086156,-0.5072162,-0.110065065,0.00605603,-0.7276285,-0.13809784,-0.0055676973,-0.8493691,-0.15331708,-0.010634138,-0.9451232,-0.16237469,-0.010661854,-0.50300145,0.048641775,-0.031445,-0.746724,0.0544503,-0.03355521,-0.8922507,0.0530319,-0.035566483,-0.99722743,0.063466296,-0.03885124,-0.45553946,0.20377076,-0.06042096,-0.62838614,0.24794127,-0.05816754,-0.5672223,0.19512664,-0.037270535,-0.49264744,0.16413356,-0.018743688,-0.38504383,0.32887357,-0.0855662,-0.51342684,0.35631552,-0.06829133,-0.47530884,0.30720782,-0.028120449,-0.42010757,0.2773917,0.004725784,V
