frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.800066,0.85862476,7.9696395e-07,0.7928019,0.7535699,-0.026393117,0.76243806,0.66742545,-0.04517077,0.7373519,0.591838,-0.059352703,0.73977375,0.5270176,-0.07135693,0.67912287,0.6992173,-0.052839875,0.5982954,0.6350686,-0.06935266,0.5517745,0.60355705,-0.07668134,0.5153246,0.5788661,-0.0793777,0.6486722,0.7672206,-0.04306674,0.5548385,0.73202336,-0.05738035,0.4959672,0.71177953,-0.06259214,0.45497257,0.7029656,-0.06394316,0.6399122,0.8251751,-0.031098465,0.6015713,0.7756931,-0.039394863,0.6309976,0.7652728,-0.03253845,0.6607969,0.77429277,-0.022459986,0.64199233,0.8702824,-0.021580337,0.6274601,0.81858724,-0.020905154,0.6509783,0.81251955,-0.0103629865,0.6745192,0.81868607,0.0015732136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40075535,0.09675692,0.521254,0.088220015,0.43489584,0.14175434,0.44789335,0.24880649,0.3764935,0.18395866,0.6371723,0.17764132
1,0.8020837,0.8660384,7.949277e-07,0.792828,0.75993365,-0.023670794,0.76318294,0.67499286,-0.041758765,0.7408806,0.5994427,-0.055414677,0.74174076,0.53928316,-0.06778748,0.6788138,0.710136,-0.054884486,0.59926075,0.6457321,-0.07000555,0.55258703,0.61473596,-0.07625578,0.5156696,0.59112036,-0.07861692,0.65114015,0.77894956,-0.046961572,0.5567082,0.74388194,-0.061680775,0.49853146,0.72624815,-0.067332305,0.45782003,0.71864116,-0.06947228,0.6431993,0.8396851,-0.035895735,0.59977376,0.7930668,-0.044969354,0.6275877,0.78238094,-0.038397126,0.6569123,0.7898395,-0.02903777,0.64592135,0.88892156,-0.026700836,0.6267162,0.8415913,-0.02743434,0.65003514,0.8360533,-0.016442448,0.6737725,0.84317464,-0.0042351773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40421057,0.097403005,0.5205234,0.09747888,0.4292079,0.16005172,0.44094998,0.26023299,0.38695207,0.16811801,0.64034814,0.17983516
2,0.80243343,0.8651187,8.201782e-07,0.79274356,0.7610997,-0.02432149,0.7626465,0.67592347,-0.0433027,0.7390065,0.6006016,-0.05861549,0.7406969,0.5376686,-0.07254645,0.6796871,0.70790136,-0.05267674,0.6002199,0.64742565,-0.0703258,0.55352163,0.6162723,-0.07891644,0.5169375,0.5921078,-0.08260002,0.6509557,0.7754385,-0.045064673,0.55707324,0.7447139,-0.060972676,0.49733558,0.72665435,-0.067679875,0.45650342,0.7183332,-0.0703612,0.6429734,0.83747554,-0.034945607,0.60174865,0.7952137,-0.044253223,0.6309693,0.7866778,-0.036690988,0.661853,0.7950394,-0.026302706,0.6458111,0.8876107,-0.027085496,0.6287822,0.84768605,-0.026952703,0.6523599,0.8428013,-0.01535692,0.67587197,0.8496208,-0.0026565427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40421057,0.097403005,0.5205234,0.09747888,0.4292079,0.16005172,0.44094998,0.26023299,0.38695207,0.16811801,0.64034814,0.17983516
3,0.7995972,0.86694413,8.059955e-07,0.791117,0.76567835,-0.02505209,0.76156366,0.67989063,-0.044376064,0.7402153,0.60176957,-0.060209755,0.7437945,0.5357126,-0.074886724,0.68028295,0.7076629,-0.05216177,0.60029286,0.6470407,-0.07025799,0.55419135,0.6161072,-0.07848777,0.518516,0.5918089,-0.08160532,0.65105814,0.773883,-0.045084007,0.5578624,0.7430405,-0.06127686,0.4992118,0.72508633,-0.067696154,0.45889494,0.71631217,-0.069730416,0.6422955,0.83586156,-0.035906572,0.6036754,0.795131,-0.04708917,0.6330968,0.78871655,-0.040842675,0.6636132,0.7975473,-0.030682487,0.64459264,0.8867874,-0.028948432,0.6298732,0.84977245,-0.030831149,0.6533515,0.8462521,-0.02043743,0.6762888,0.853475,-0.008157149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40498477,0.09826465,0.5234624,0.09695779,0.432485,0.15991177,0.44388753,0.26206857,0.3849318,0.17259832,0.64325964,0.18222003
4,0.8042489,0.86741716,7.7337234e-07,0.79806125,0.76509553,-0.023662563,0.76870763,0.67608464,-0.041778367,0.74518776,0.5986275,-0.055788405,0.7470854,0.53405887,-0.067993514,0.6924328,0.7077842,-0.05648629,0.608845,0.6444591,-0.07577992,0.56117165,0.6115665,-0.0836961,0.523932,0.5855689,-0.08623649,0.6609338,0.77449805,-0.048569173,0.56380665,0.739516,-0.06644945,0.5038031,0.7191581,-0.07271146,0.4617433,0.71007025,-0.07435086,0.65014946,0.8325937,-0.037744924,0.60916924,0.78484994,-0.048577454,0.63908803,0.7763441,-0.04013748,0.6699132,0.78615403,-0.028165452,0.6502729,0.8786308,-0.029022023,0.6333536,0.8305772,-0.028949287,0.6573346,0.82650775,-0.016570158,0.68120444,0.8350141,-0.0029159999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40234026,0.09587099,0.52411604,0.09454627,0.43511027,0.1522208,0.4450244,0.2579527,0.37538287,0.1760823,0.6382374,0.18480174
5,0.8051847,0.8613001,7.9770234e-07,0.79787505,0.7589444,-0.023771064,0.7673584,0.6739892,-0.042333703,0.7445138,0.59840864,-0.057427652,0.7458117,0.5328772,-0.07121878,0.68610674,0.698398,-0.050787553,0.60689294,0.6360035,-0.06816964,0.5597973,0.6049461,-0.07663656,0.5226279,0.58140916,-0.08033809,0.6561065,0.76357144,-0.04327176,0.56385094,0.7313257,-0.058466136,0.5035977,0.71386117,-0.0648614,0.4606396,0.70685714,-0.06743069,0.64673764,0.8235302,-0.033493634,0.6063544,0.7829238,-0.043169215,0.6372867,0.7764563,-0.035710026,0.6682126,0.7857218,-0.025203204,0.64844793,0.87208,-0.025954908,0.63103557,0.82894456,-0.026893085,0.6556993,0.825594,-0.01577732,0.6795401,0.83295876,-0.0032694277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39890817,0.10191698,0.51761615,0.095153764,0.43012878,0.15667991,0.44270182,0.2616235,0.37662187,0.18336727,0.634102,0.18212242
6,0.80442476,0.85715246,7.856136e-07,0.79724634,0.75615686,-0.024301773,0.7667236,0.6692953,-0.043355357,0.7459227,0.5911908,-0.058502387,0.74505925,0.5281504,-0.07233542,0.6907873,0.6978963,-0.05535303,0.6088299,0.6337104,-0.0750038,0.56276345,0.5994004,-0.08394108,0.5266091,0.5728915,-0.08717296,0.6612789,0.7638906,-0.04860182,0.56546354,0.7289651,-0.06644935,0.5059226,0.7096987,-0.07320907,0.4627064,0.7017409,-0.07540154,0.6513822,0.8229274,-0.039497998,0.6081302,0.77847755,-0.053244237,0.63740754,0.7694639,-0.046926454,0.66726303,0.7775027,-0.036243815,0.65223336,0.8703844,-0.032282807,0.6319837,0.82272375,-0.0360804,0.656614,0.81883264,-0.024911059,0.6808725,0.8275361,-0.01187916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39858985,0.10399641,0.51796055,0.09712733,0.43016982,0.15643097,0.44360328,0.25993973,0.37869838,0.18463401,0.6356583,0.18224676
7,0.80277807,0.8048509,6.972099e-07,0.79980963,0.7105193,-0.026867367,0.76952374,0.6183007,-0.044482388,0.7484381,0.54658425,-0.05892139,0.74937105,0.4882268,-0.07259102,0.69722646,0.63157487,-0.052643716,0.6185472,0.5665353,-0.07900489,0.57103384,0.5322782,-0.09114526,0.535293,0.5071601,-0.09527677,0.6663586,0.6897622,-0.04779711,0.5715417,0.6526627,-0.07367933,0.5114749,0.63388085,-0.084664956,0.4672625,0.62513345,-0.08717121,0.6544726,0.7432269,-0.042087965,0.61284477,0.7194574,-0.065131545,0.6390245,0.7105682,-0.064338386,0.6690185,0.7143956,-0.05415227,0.6548961,0.7884053,-0.03816041,0.6326447,0.77007157,-0.04745643,0.6544705,0.76391244,-0.039020568,0.67763174,0.7697371,-0.02632809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39558944,0.10290922,0.5177715,0.09791143,0.43009192,0.15420176,0.44189662,0.25863308,0.3702779,0.18518426,0.63174385,0.18561523
8,0.78107697,0.7548335,6.932194e-07,0.7908835,0.6614761,-0.037526943,0.76500225,0.561924,-0.057683114,0.7453836,0.47919258,-0.074042104,0.7478442,0.41214126,-0.09069908,0.688957,0.56426364,-0.060577117,0.620573,0.49119443,-0.09313674,0.5727347,0.45216066,-0.11321974,0.53066826,0.42828068,-0.12482376,0.65605414,0.6125374,-0.054889664,0.58771586,0.55606735,-0.08603183,0.532401,0.5338349,-0.10135339,0.4832995,0.5241113,-0.108361386,0.6420629,0.66333157,-0.05033617,0.6169643,0.6359843,-0.08013572,0.64724183,0.6395789,-0.078537665,0.6767994,0.65225166,-0.06878381,0.6420202,0.71193546,-0.049093653,0.62763095,0.6876344,-0.067498125,0.6512763,0.68807656,-0.060575146,0.67648166,0.6965979,-0.04903244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39801285,0.10887392,0.5141866,0.09935109,0.42923126,0.16457184,0.4437882,0.26450342,0.37939522,0.18431254,0.63061684,0.17521717
9,0.78809595,0.673504,5.785526e-07,0.77795786,0.54273677,-0.012159899,0.74352306,0.417616,-0.028163688,0.72083557,0.32033908,-0.0431098,0.71424675,0.24514577,-0.06120438,0.70336413,0.4620006,-0.06016018,0.6317713,0.39815468,-0.08787128,0.58249724,0.3545776,-0.103894755,0.541825,0.3197248,-0.11504644,0.6765684,0.5204562,-0.06674291,0.61600626,0.45646518,-0.09167196,0.5784378,0.40872896,-0.10265508,0.55122554,0.36863327,-0.11210301,0.657471,0.5763975,-0.071803376,0.6089989,0.5168941,-0.0901909,0.584435,0.47029805,-0.091103286,0.5699458,0.4315899,-0.093027025,0.6472159,0.6283743,-0.07753855,0.60606676,0.5737734,-0.09040052,0.5882998,0.53509283,-0.08924515,0.5777349,0.50209606,-0.08840387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40687102,0.11277433,0.52273685,0.10057326,0.43313706,0.17064507,0.4495836,0.2765996,0.39345476,0.19068684,0.65029615,0.17666043
