frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4158249,0.27933478,0.52360564,0.2779594,0.45104647,0.3216514,0.45853135,0.41316205,0.3845588,0.35544026,0.6152549,0.35974622
1,0.50197375,0.6562321,7.538461e-08,0.48553762,0.6065536,0.009047389,0.45004773,0.5697396,0.013016848,0.4217445,0.5523934,0.0134929735,0.40119937,0.5407203,0.013066815,0.437328,0.544813,0.008142742,0.3997638,0.50352407,-0.00016439235,0.37514114,0.47576028,-0.006738326,0.35540688,0.4545306,-0.010791428,0.42384195,0.5517187,-0.0026085488,0.38157853,0.50123155,-0.009897754,0.35438308,0.4709125,-0.015508194,0.33063495,0.44397962,-0.019676207,0.40965942,0.5704029,-0.014073907,0.3690186,0.52033913,-0.021601351,0.3425283,0.48776537,-0.028987212,0.32067576,0.45982134,-0.034288183,0.3942975,0.60063416,-0.024768056,0.35920012,0.5685467,-0.03073075,0.33540466,0.54701674,-0.034574285,0.31563944,0.52803135,-0.0381079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41493437,0.2806781,0.52267486,0.2722575,0.45287398,0.32403582,0.46152323,0.4145543,0.38330504,0.35677403,0.61432296,0.34841228
2,0.4934466,0.6461114,2.3317592e-07,0.478787,0.5930743,0.009849595,0.44477212,0.55821514,0.013164044,0.4170438,0.5464647,0.0128255505,0.39753908,0.5399719,0.011476557,0.4305345,0.5371688,0.008957541,0.39516976,0.49688753,0.0015055351,0.37286866,0.46681452,-0.005189299,0.35475117,0.44192705,-0.0095730135,0.41753846,0.5451199,-0.0023034392,0.37509245,0.4952093,-0.007838988,0.34726018,0.4610802,-0.013249822,0.32404393,0.43067527,-0.01758176,0.40481588,0.5631859,-0.013922416,0.36420637,0.5140772,-0.019372402,0.33793128,0.48095194,-0.026474684,0.31655404,0.45182496,-0.031978745,0.39211392,0.5916484,-0.024719922,0.35853702,0.5586005,-0.029926874,0.33506104,0.5363779,-0.033201672,0.31432396,0.51720214,-0.0360146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41782936,0.2800551,0.5226545,0.27755827,0.45575926,0.32656825,0.46103677,0.41303557,0.38029653,0.34854555,0.6063655,0.35127717
3,0.49570546,0.6411318,2.1238161e-07,0.4789252,0.5900188,0.011161273,0.4461264,0.55774677,0.015530514,0.4179553,0.54709643,0.016392432,0.39632523,0.5430211,0.016087122,0.432188,0.540772,0.009561763,0.3959305,0.49718374,0.0019302224,0.37351108,0.46549267,-0.0040628184,0.35522044,0.4390146,-0.0077383122,0.42110875,0.5464901,-0.0012791669,0.37727743,0.4944971,-0.006851575,0.35046732,0.46080992,-0.011524507,0.328091,0.43095714,-0.015445963,0.40762252,0.5630196,-0.012477835,0.36493403,0.51319885,-0.018347874,0.338867,0.47943598,-0.025722608,0.318996,0.45155862,-0.031311903,0.39148167,0.59120476,-0.022606837,0.35608593,0.5575091,-0.028145086,0.33332026,0.5348541,-0.03234717,0.31353313,0.5152661,-0.03597372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159227,0.28228897,0.5222775,0.27445477,0.45779657,0.32949293,0.46574524,0.4151005,0.37873462,0.35094362,0.6071125,0.34018165
4,0.49434987,0.64041877,2.2557218e-07,0.47823027,0.58861244,0.0105354125,0.44502783,0.55511254,0.0143938055,0.4166155,0.54298675,0.014807232,0.39507502,0.537063,0.014057786,0.43109316,0.540269,0.00841664,0.3949781,0.49666142,0.00019760682,0.37256005,0.46454355,-0.0063749477,0.3542654,0.43798167,-0.01035654,0.42008898,0.54708374,-0.0023453503,0.37652895,0.49548447,-0.0082646515,0.34959185,0.46125406,-0.013417732,0.32689714,0.43119615,-0.017607903,0.4069073,0.5642256,-0.013400563,0.36421618,0.514802,-0.019391747,0.33820438,0.4809457,-0.026606511,0.3180382,0.45327982,-0.032039538,0.39164072,0.59215826,-0.023446633,0.35655555,0.558277,-0.028992806,0.3341362,0.535707,-0.03284212,0.31461468,0.51680934,-0.03610962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159227,0.28228897,0.5222775,0.27445477,0.45779657,0.32949293,0.46574524,0.4151005,0.37873462,0.35094362,0.6071125,0.34018165
5,0.49623978,0.64257056,1.7764131e-07,0.48178983,0.59476113,0.00883012,0.4483385,0.5617469,0.012675884,0.41888192,0.551308,0.013518702,0.39689222,0.5482781,0.013489242,0.43413773,0.54139864,0.00823346,0.3982265,0.5014831,0.0005845789,0.375606,0.4724382,-0.0056612818,0.357246,0.4481478,-0.009818577,0.4224246,0.5474341,-0.0017520011,0.37870148,0.4991372,-0.0077083246,0.35171977,0.46698767,-0.012435761,0.328945,0.43832892,-0.016348666,0.40944445,0.56361,-0.0123221455,0.3672109,0.5165703,-0.018474279,0.34164077,0.48387143,-0.025497476,0.3219997,0.4562451,-0.030844038,0.39467707,0.59000206,-0.022130946,0.360673,0.55953014,-0.027973821,0.33831415,0.5380187,-0.03232723,0.3191502,0.51904076,-0.036087476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41007173,0.28608304,0.5133096,0.27871144,0.44494852,0.33124053,0.45433956,0.4175319,0.38132066,0.35578042,0.6056222,0.34821147
6,0.49603826,0.6430351,1.8178936e-07,0.4821608,0.592564,0.009641136,0.44860905,0.55723435,0.014156126,0.41944075,0.5438633,0.015529931,0.3977521,0.5389905,0.015914612,0.43214864,0.54059136,0.009113302,0.39731726,0.5003269,0.0019295207,0.37437135,0.47093606,-0.0043214657,0.35506165,0.447088,-0.008610782,0.4209709,0.54715663,-0.0010095632,0.37868357,0.4986743,-0.006333825,0.35235852,0.46675062,-0.011098653,0.3296656,0.43889183,-0.015129166,0.4083243,0.56368965,-0.011530191,0.36636424,0.5164636,-0.017110137,0.34102723,0.48439878,-0.023964275,0.3210894,0.45764273,-0.029321799,0.39427832,0.59015024,-0.021217784,0.36035448,0.55947125,-0.026774425,0.3382221,0.5382546,-0.0308217,0.31921208,0.5200204,-0.03435413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41007173,0.28608304,0.5133096,0.27871144,0.44494852,0.33124053,0.45433956,0.4175319,0.38132066,0.35578042,0.6056222,0.34821147
7,0.50114644,0.6452625,1.762137e-07,0.48548228,0.59616965,0.009696773,0.4491049,0.5590136,0.014095114,0.41850108,0.5417787,0.015364812,0.39668232,0.5315342,0.015786625,0.4375237,0.5426453,0.008427764,0.3999179,0.5023005,0.00059419504,0.37616217,0.47092754,-0.0058452487,0.35692674,0.4453383,-0.01002881,0.42738852,0.54922426,-0.0019359678,0.38291937,0.5005515,-0.007609401,0.355124,0.4669299,-0.012576267,0.3314634,0.43660563,-0.01674519,0.41531473,0.56561536,-0.012674606,0.37185624,0.5183388,-0.018379709,0.34512848,0.48514298,-0.02497901,0.32452834,0.45708913,-0.030051563,0.40113577,0.5917011,-0.022602575,0.36542815,0.56003857,-0.02784275,0.34203732,0.53719646,-0.03170167,0.32219166,0.5173431,-0.03511835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413526,0.28387338,0.51535815,0.2763257,0.44793662,0.3323177,0.45739794,0.41763735,0.3854153,0.3502186,0.6064706,0.34157348
8,0.5077421,0.6419914,1.3614279e-07,0.49366385,0.5936146,0.011363787,0.45791084,0.5624865,0.017195927,0.42625025,0.55379516,0.019316271,0.40371984,0.5506054,0.020413721,0.4433799,0.5423547,0.0129559,0.4033317,0.5089121,0.006892099,0.3777797,0.4819823,0.0014666942,0.35692403,0.45900434,-0.0023706944,0.4318337,0.5483588,0.001842465,0.38641885,0.50436383,-0.0028826094,0.35822046,0.4726962,-0.0076879044,0.33430597,0.44355762,-0.011758808,0.41855285,0.56384677,-0.00979601,0.37571582,0.52023184,-0.014984986,0.34896648,0.4878383,-0.022089984,0.32835,0.45999146,-0.027566435,0.4029192,0.5890668,-0.020548243,0.36746702,0.5597025,-0.025537662,0.34500128,0.53802705,-0.029614503,0.32608652,0.51888144,-0.033265162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073716,0.28390396,0.5120641,0.27724534,0.4414535,0.33089143,0.4511273,0.41711324,0.37993643,0.35164255,0.6071022,0.34536093
9,0.5071808,0.6418538,1.5596325e-07,0.49417984,0.58939195,0.011593743,0.4576799,0.5549138,0.017620288,0.42651922,0.54083604,0.019933257,0.40385967,0.53421617,0.021130739,0.44215572,0.54187506,0.012494016,0.40261346,0.5077083,0.006109288,0.3770877,0.4802629,0.0005202438,0.35621282,0.45734978,-0.003358457,0.43044934,0.54840004,0.0012249105,0.38561118,0.50383073,-0.0035188468,0.3578581,0.4717498,-0.008439272,0.33449635,0.44330865,-0.012505413,0.41764554,0.56462264,-0.010411759,0.3745084,0.520567,-0.015657866,0.3479374,0.48823267,-0.02248566,0.32690874,0.46079138,-0.027760953,0.40395543,0.5900417,-0.021088513,0.3687931,0.559501,-0.026016308,0.3462413,0.53775114,-0.029557994,0.3269186,0.5191778,-0.03276797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073716,0.28390396,0.5120641,0.27724534,0.4414535,0.33089143,0.4511273,0.41711324,0.37993643,0.35164255,0.6071022,0.34536093
