frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.8403314,0.86804056,-1.8716173e-07,0.7414335,0.82529426,-0.011053668,0.6503145,0.7732224,-0.026498143,0.57133,0.75906426,-0.049421452,0.5129498,0.755128,-0.07392532,0.7194877,0.6110967,0.0032451292,0.7082084,0.49732155,-0.020865204,0.70116603,0.42933762,-0.039967988,0.69720757,0.3667443,-0.05645979,0.77415836,0.59896713,-0.012725886,0.74227124,0.5853204,-0.059827134,0.7424883,0.67988104,-0.070991755,0.7631224,0.72355014,-0.06888316,0.8269336,0.61192316,-0.033154085,0.79595315,0.60406023,-0.07147717,0.78990895,0.6913937,-0.054785762,0.80368984,0.72000587,-0.034983754,0.87763715,0.6399096,-0.056080755,0.8551227,0.60827506,-0.07442055,0.8355211,0.67549133,-0.055491406,0.8394739,0.70786756,-0.037132435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39590496,0.50858355,0.53175056,0.4991405,0.4710925,0.6097993,0.47558808,0.6896829,0.3220168,0.5413523,0.6058239,0.5162539
1,0.85463345,0.88594013,-1.3727539e-07,0.7527438,0.83676136,-0.012596048,0.6575408,0.78047836,-0.02740762,0.5740777,0.7638973,-0.050552074,0.5134568,0.7592435,-0.07435901,0.72150487,0.61996967,0.012697773,0.709099,0.5043076,-0.015199093,0.7006363,0.4353251,-0.03706331,0.69498515,0.3699461,-0.055077527,0.77662885,0.6080307,-0.004327633,0.7432393,0.5869294,-0.059756957,0.7390596,0.681647,-0.07608259,0.7556743,0.7215998,-0.07498752,0.8298318,0.6194999,-0.027233534,0.7989434,0.6062334,-0.07424635,0.78922874,0.69469476,-0.06122152,0.8002686,0.72093284,-0.040744856,0.8798435,0.6440256,-0.05280926,0.8570225,0.6145955,-0.07604442,0.8367896,0.68255734,-0.059714396,0.84189194,0.7116229,-0.041752663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39519984,0.5083414,0.52847177,0.49775362,0.47100082,0.606901,0.47498086,0.68445486,0.32019383,0.5404876,0.5991307,0.5132294
2,0.86072415,0.88782674,-1.3737501e-07,0.753945,0.834399,-0.009078612,0.6586897,0.7790386,-0.021956556,0.5734756,0.763885,-0.043244485,0.5122958,0.7603559,-0.06530224,0.72094333,0.6178183,0.014384049,0.7085676,0.5001774,-0.012246908,0.7017173,0.4283856,-0.035160106,0.69652236,0.36184806,-0.05430298,0.77692807,0.607244,-0.0021186098,0.7432171,0.58452713,-0.0526328,0.74374753,0.68015254,-0.06737043,0.76460344,0.7218367,-0.06717001,0.83184355,0.62056,-0.02384174,0.80096024,0.6011342,-0.064249836,0.79216295,0.6892963,-0.04925836,0.8037874,0.7193012,-0.029754067,0.8827346,0.6491234,-0.04805931,0.86140466,0.6076625,-0.06701715,0.8381482,0.6741526,-0.0492464,0.8408252,0.70793897,-0.031474415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39220482,0.510751,0.5266348,0.4978034,0.4687742,0.6076084,0.47405335,0.68619615,0.318369,0.5452016,0.5993641,0.512657
3,0.86158013,0.8885578,-1.12508374e-07,0.7568438,0.83348167,-0.011251161,0.6617519,0.7770339,-0.025167879,0.57413167,0.7591618,-0.046766613,0.51291716,0.7571624,-0.06932653,0.72092915,0.61963105,0.010608911,0.7081838,0.49809444,-0.015644195,0.7004161,0.42529583,-0.037860855,0.6957296,0.35933855,-0.055998366,0.77657956,0.6090463,-0.0036471498,0.7504432,0.57731867,-0.054022394,0.7477678,0.67386067,-0.06891104,0.7643293,0.72251683,-0.06835939,0.8311962,0.6209073,-0.022640308,0.80681074,0.5949484,-0.0624851,0.7971496,0.6832744,-0.048253313,0.8076904,0.72247076,-0.02877789,0.88095707,0.6477969,-0.043999854,0.862658,0.6060055,-0.0616527,0.84147656,0.6710557,-0.043640863,0.8459455,0.7081005,-0.025418187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389219,0.5149787,0.5215597,0.49606723,0.4675787,0.61092997,0.47457263,0.6879409,0.31663147,0.550494,0.59337527,0.5057828
4,0.8669515,0.8812052,-9.0140794e-08,0.76354593,0.8269776,-0.013470505,0.66664815,0.7714223,-0.029365651,0.5764217,0.75897175,-0.051862553,0.5167256,0.7584787,-0.075006224,0.7253823,0.61091125,0.002089475,0.71155715,0.49199802,-0.025486376,0.70597523,0.4183599,-0.048570484,0.7022048,0.3515218,-0.067307405,0.78257835,0.60063803,-0.010225939,0.7528836,0.5785906,-0.05772024,0.7539324,0.6676135,-0.07123899,0.7731763,0.7109016,-0.07207416,0.8384891,0.6147627,-0.027062038,0.81240785,0.59457684,-0.06525715,0.8029769,0.67740184,-0.051529597,0.8137328,0.7143139,-0.033792224,0.8887128,0.64374346,-0.046218317,0.8702868,0.6011154,-0.06306714,0.84914786,0.662014,-0.045682378,0.85267997,0.69899833,-0.028685514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38988325,0.5138717,0.5251682,0.49697882,0.4681846,0.61454076,0.4748774,0.69305307,0.31682798,0.54696196,0.59938985,0.5062871
5,0.8733618,0.8776572,-4.973994e-08,0.7703665,0.8218144,-0.013860965,0.6749453,0.7687398,-0.030036746,0.57976145,0.75495917,-0.052204356,0.52340245,0.7547585,-0.07510061,0.72846884,0.6096223,-0.00032609826,0.7141864,0.48733574,-0.031782508,0.70868826,0.41144568,-0.059487164,0.7045492,0.3423307,-0.08069692,0.78479326,0.5991241,-0.009725793,0.7610948,0.5654578,-0.058405098,0.7636084,0.6501959,-0.07417861,0.77920324,0.69873524,-0.07653731,0.84107995,0.6116555,-0.023042377,0.82015896,0.5812378,-0.06021303,0.81051725,0.6618131,-0.047910567,0.81729096,0.70562464,-0.030897424,0.88867414,0.64168966,-0.03837644,0.87439865,0.59265906,-0.052915882,0.8535367,0.65172017,-0.034903415,0.8553347,0.691648,-0.017461902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38471878,0.5179178,0.5179425,0.49884468,0.46130368,0.61615604,0.46908787,0.6922939,0.31523606,0.5503822,0.5934527,0.5063675
6,0.88318783,0.8832519,1.47045025e-08,0.7795987,0.82011,-0.01686045,0.6855765,0.7675111,-0.034406975,0.58745885,0.7535025,-0.057802975,0.5294864,0.7551087,-0.081863694,0.7340223,0.60703796,0.0022951686,0.7196522,0.48630255,-0.032218996,0.71492404,0.411471,-0.06438224,0.71196955,0.34062624,-0.08849656,0.78918415,0.59854114,-0.0046011843,0.77185285,0.5520859,-0.055125862,0.7740275,0.63825774,-0.074040025,0.78646123,0.69039446,-0.0780135,0.8469904,0.6141871,-0.015871927,0.83093876,0.5718741,-0.054503977,0.82002646,0.6540211,-0.044081733,0.82334304,0.70183897,-0.027359106,0.89443076,0.64942807,-0.02922141,0.8844449,0.59044826,-0.042035922,0.86160237,0.65135294,-0.023046847,0.8622247,0.69289404,-0.005151842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3881709,0.5135844,0.520315,0.496813,0.46617368,0.6142183,0.47211733,0.68929166,0.31363288,0.5434846,0.59024733,0.50342345
7,0.88043374,0.8965009,-8.195795e-08,0.78099805,0.84065133,-0.017352186,0.6857051,0.7829421,-0.036119048,0.59374577,0.7650372,-0.060779653,0.5303842,0.76401514,-0.08663292,0.73646766,0.6270846,-0.00642144,0.7234279,0.5001794,-0.039256196,0.7168192,0.42364419,-0.06541034,0.7135528,0.3522831,-0.08476489,0.79370785,0.6207306,-0.017504599,0.7809458,0.56205773,-0.06803908,0.7757542,0.65457374,-0.08093231,0.7830397,0.70820165,-0.08000035,0.8501777,0.63519496,-0.033154126,0.8384882,0.57762516,-0.076550275,0.8250951,0.6660035,-0.061674464,0.8277094,0.7169013,-0.04109706,0.9018191,0.6640368,-0.050779562,0.8912488,0.592487,-0.06952645,0.8704652,0.65902853,-0.04898174,0.8702204,0.7071455,-0.029232342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38809437,0.5156401,0.51984274,0.49370104,0.46698955,0.6142934,0.4748392,0.6878422,0.31589222,0.54573655,0.59194565,0.49552077
8,0.8782021,0.9052811,-1.2412443e-07,0.78133047,0.8558601,-0.017301705,0.6883745,0.802167,-0.037045483,0.59723145,0.7837511,-0.06263232,0.53330106,0.7804343,-0.089321665,0.7356509,0.6399455,-0.0061956886,0.7243303,0.51199573,-0.03182746,0.71782374,0.43851918,-0.05162748,0.7137771,0.36939457,-0.06795187,0.7909937,0.6315665,-0.017873926,0.783482,0.5798191,-0.061557323,0.7804605,0.67351454,-0.07023314,0.7865157,0.7280933,-0.06842324,0.84620506,0.6445689,-0.033982813,0.83841807,0.5956816,-0.07137163,0.82817274,0.68643993,-0.05412546,0.82913417,0.7358001,-0.03496846,0.89842534,0.6701404,-0.052407797,0.891358,0.6079764,-0.070036285,0.8723463,0.67784035,-0.05043986,0.868886,0.72507846,-0.032520264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38890272,0.5157791,0.5234458,0.49602467,0.46809405,0.6157368,0.47536305,0.6925933,0.31622905,0.5483446,0.5972957,0.5029958
9,0.8759266,0.91652876,-6.2915824e-08,0.7807345,0.8628984,-0.021161687,0.6851798,0.80718017,-0.04226197,0.59555084,0.78983676,-0.069407426,0.53046817,0.786276,-0.09762959,0.7367173,0.65202355,-0.00759863,0.72661316,0.52661926,-0.035863984,0.71939766,0.45349938,-0.056677226,0.7168635,0.3853748,-0.07334095,0.7931143,0.6458158,-0.019567473,0.7850595,0.58333004,-0.0699576,0.7749722,0.6789883,-0.08145093,0.7789072,0.737638,-0.0787682,0.8494803,0.6599076,-0.036633372,0.841537,0.6015962,-0.080252334,0.8258526,0.69378173,-0.06527738,0.8248315,0.7475008,-0.04474025,0.9037217,0.6881815,-0.05634287,0.8950667,0.6193654,-0.07777596,0.8726439,0.6863581,-0.060074795,0.8670947,0.73460937,-0.04222952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39001918,0.51347023,0.5194391,0.50009364,0.46691647,0.61381346,0.470383,0.687004,0.31338707,0.54154617,0.58495337,0.509439
