frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.59867436,0.8086872,3.1435292e-07,0.54307723,0.780874,-0.016172588,0.5074458,0.7234934,-0.028090026,0.4911856,0.67569053,-0.042503644,0.47233617,0.6305619,-0.056262087,0.5368791,0.6066734,-0.013281906,0.52186316,0.53283095,-0.03830285,0.5073886,0.4850548,-0.055858076,0.49514288,0.44757438,-0.066504404,0.57344973,0.5977649,-0.022527138,0.5494815,0.5103693,-0.051192086,0.5211423,0.46238458,-0.07007523,0.49524394,0.4292875,-0.078090295,0.60676813,0.6096124,-0.034187518,0.5504485,0.5772044,-0.071190506,0.5173788,0.6249025,-0.07723158,0.49950108,0.66864866,-0.07091753,0.6304897,0.6426434,-0.047021944,0.5711786,0.6510611,-0.074806355,0.54420173,0.6877783,-0.075114734,0.53432614,0.7195071,-0.067807555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350219,0.3142503,0.4397249,0.30868787,0.36506712,0.36267716,0.3787457,0.44562846,0.3460768,0.37333155,0.5471275,0.37148052
1,0.5498055,0.8253294,4.710914e-07,0.4953416,0.7975899,-0.015130957,0.46042153,0.7406637,-0.025656737,0.44694158,0.69332814,-0.038849223,0.42529708,0.655138,-0.051362228,0.47956717,0.6309615,-0.018127829,0.4686978,0.54364437,-0.041061115,0.45975387,0.49201486,-0.054786973,0.45504805,0.44765073,-0.062856205,0.5177112,0.6192813,-0.027650353,0.50017405,0.52429605,-0.053006276,0.47761625,0.46792394,-0.069492064,0.45789766,0.4236427,-0.07692429,0.5535245,0.6295858,-0.038890656,0.50066537,0.6060581,-0.071182646,0.46993813,0.6584326,-0.07544371,0.45467895,0.701918,-0.06953075,0.5804848,0.6598086,-0.051629975,0.5234437,0.68141264,-0.07551977,0.49570197,0.722589,-0.075701736,0.4853844,0.75315696,-0.06958536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468317,0.31229848,0.43657497,0.29921812,0.3663291,0.35603732,0.38249284,0.43846083,0.34226394,0.37414038,0.5436342,0.3559779
2,0.53303957,0.8183714,6.0410474e-07,0.4745075,0.7971632,-0.012870981,0.43371564,0.7479167,-0.025828905,0.41675633,0.70592886,-0.04244086,0.3918656,0.6749887,-0.058718264,0.45390156,0.6279048,-0.021188093,0.4463859,0.538518,-0.04684453,0.43575186,0.48429298,-0.06234323,0.42823923,0.4385615,-0.07087299,0.49140462,0.6200766,-0.0340757,0.47407004,0.52132016,-0.06091346,0.4523632,0.46199065,-0.07669556,0.4342151,0.41591322,-0.08314259,0.5280874,0.63535595,-0.048415054,0.48104212,0.6159415,-0.08207445,0.4529145,0.6715922,-0.08319475,0.4405444,0.7179647,-0.074069075,0.558352,0.67184365,-0.06395469,0.51271075,0.68075436,-0.086663105,0.48619908,0.72246367,-0.081453174,0.47507346,0.7558497,-0.07114634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34913287,0.30746216,0.4388777,0.2978124,0.3659483,0.34421366,0.38095865,0.4319505,0.34557748,0.37829328,0.5467208,0.36892158
3,0.4961599,0.842171,5.4383975e-07,0.44321817,0.819404,-0.015769755,0.4029934,0.76943755,-0.029133832,0.38106188,0.73057276,-0.04583845,0.35291266,0.7054729,-0.062333424,0.41196373,0.64411956,-0.021309013,0.3992235,0.554423,-0.04846423,0.389582,0.5002422,-0.065058835,0.3832603,0.45358545,-0.07448612,0.45311782,0.6298073,-0.033162765,0.43438423,0.5357216,-0.06262021,0.41095942,0.48068383,-0.08053531,0.38797343,0.43316025,-0.08784034,0.49486026,0.639911,-0.046845194,0.4416145,0.6350523,-0.083981946,0.4255512,0.70003647,-0.08655065,0.42308608,0.74516314,-0.07707737,0.52828705,0.6715639,-0.061984193,0.47503242,0.695346,-0.0865078,0.45738932,0.74154234,-0.082443886,0.45721892,0.7718189,-0.07233267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35120526,0.31020695,0.4402972,0.30025178,0.3698884,0.34886378,0.38450792,0.43214566,0.34632775,0.37581068,0.5437441,0.36427778
4,0.49968338,0.8398236,5.227393e-07,0.44769967,0.8185279,-0.01411471,0.40394124,0.76940024,-0.025853341,0.3804703,0.73270595,-0.040745933,0.3546879,0.7054022,-0.055117253,0.41030172,0.64547724,-0.022800712,0.40015012,0.5537614,-0.049139548,0.3898589,0.49966836,-0.06451007,0.38221288,0.4535501,-0.07294835,0.45254052,0.63179505,-0.03420522,0.43494582,0.53584635,-0.062638745,0.4110675,0.48121256,-0.07921994,0.38818437,0.4365453,-0.08547699,0.49498564,0.64145225,-0.046939347,0.4414584,0.63556045,-0.082899846,0.42312393,0.7001724,-0.08563176,0.4201594,0.7461029,-0.07649739,0.52847743,0.67212987,-0.06077865,0.4747452,0.7008706,-0.085423015,0.45520076,0.74909526,-0.08222228,0.45460624,0.7799758,-0.07258097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35120526,0.31020695,0.4402972,0.30025178,0.3698884,0.34886378,0.38450792,0.43214566,0.34632775,0.37581068,0.5437441,0.36427778
5,0.4954954,0.85645497,4.91852e-07,0.442498,0.83895904,-0.017683433,0.39893085,0.79276156,-0.03268733,0.3819064,0.7491262,-0.0507622,0.38031876,0.7074396,-0.067399964,0.4066237,0.66029036,-0.023216594,0.39212823,0.5727339,-0.05201076,0.38361865,0.51991874,-0.07078504,0.37712988,0.4725744,-0.08208823,0.44713795,0.6456697,-0.03452737,0.4224272,0.55176497,-0.065751806,0.39645612,0.49683583,-0.08424384,0.37130764,0.45049658,-0.092055514,0.48869845,0.65589553,-0.047791578,0.4351678,0.6407344,-0.0873738,0.41861176,0.71152997,-0.0886015,0.41666704,0.7622956,-0.07757363,0.5209509,0.689506,-0.06269591,0.4669635,0.7096537,-0.090739146,0.44634154,0.7583472,-0.08735777,0.4440354,0.79109573,-0.07688755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34841308,0.30960053,0.43765414,0.30557162,0.36239445,0.35440546,0.3758118,0.43974775,0.34538773,0.3722356,0.545347,0.37337893
6,0.49907058,0.86117816,5.1681957e-07,0.44457036,0.8443085,-0.017662706,0.40225196,0.79716337,-0.03288503,0.38797837,0.7534806,-0.051516492,0.38004264,0.70899296,-0.06863202,0.40559855,0.6649296,-0.02278255,0.39155906,0.5773999,-0.05227063,0.38279197,0.523233,-0.07101874,0.37568712,0.47582573,-0.08172269,0.4462128,0.6484194,-0.03426199,0.42190108,0.55249727,-0.06686296,0.3942383,0.49677888,-0.08518262,0.36755955,0.45099893,-0.09204353,0.48704746,0.65720433,-0.047810674,0.43251482,0.6452739,-0.08799153,0.41878992,0.71634024,-0.08846627,0.41905296,0.7669567,-0.07635266,0.51905394,0.689116,-0.06314094,0.4649153,0.7134489,-0.0902617,0.44631684,0.76353794,-0.08597138,0.44530478,0.79644686,-0.07468801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34973443,0.31449223,0.43815285,0.30872077,0.36358678,0.36561424,0.37819365,0.4473464,0.34820315,0.36974496,0.5475438,0.3663382
7,0.49986163,0.8654506,5.006606e-07,0.44440874,0.8452326,-0.015230361,0.4022987,0.7958355,-0.02839065,0.38744196,0.7517832,-0.04526176,0.3760702,0.7119326,-0.060905114,0.40717122,0.6646952,-0.02073327,0.3910721,0.5774954,-0.048024174,0.3810122,0.5242801,-0.06532022,0.37259817,0.47672993,-0.07545286,0.44832957,0.6489096,-0.032736197,0.42310068,0.55427134,-0.0626352,0.39666015,0.49983233,-0.079631194,0.371243,0.45539436,-0.08640646,0.4897755,0.6587499,-0.046541926,0.43442127,0.64762783,-0.08352523,0.41845158,0.7158762,-0.0837242,0.41710997,0.7655812,-0.07260984,0.5218991,0.69234973,-0.062135354,0.4699796,0.7159248,-0.08754454,0.44913897,0.76219594,-0.0838652,0.44578546,0.79307514,-0.07374472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35228917,0.31349117,0.44014776,0.30949348,0.36782208,0.3640769,0.38033396,0.44403642,0.34632552,0.36750966,0.54367864,0.36821765
8,0.50353736,0.86383384,5.226842e-07,0.44815663,0.8449959,-0.016107876,0.40569782,0.79710066,-0.029381245,0.39096427,0.75489515,-0.045765433,0.37786528,0.7134683,-0.060659185,0.4049443,0.66811335,-0.022985507,0.39072004,0.5776882,-0.05100653,0.38157672,0.5225028,-0.06828299,0.3739795,0.47453183,-0.07827432,0.44742897,0.65037906,-0.03441854,0.42307955,0.55139613,-0.06571894,0.39555675,0.49627444,-0.08380016,0.3682812,0.4518938,-0.0908705,0.48977768,0.658138,-0.047479812,0.43400872,0.64531386,-0.08574452,0.41707754,0.71558994,-0.08730339,0.41403842,0.7665022,-0.07683847,0.52231085,0.6894299,-0.06219433,0.46805182,0.7215037,-0.08924213,0.4471197,0.77104706,-0.087165795,0.44351065,0.80255216,-0.07788877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35129002,0.3142535,0.4369813,0.3088814,0.36394933,0.36327356,0.37827352,0.4436748,0.3503576,0.36952192,0.5444531,0.36677814
9,0.5123929,0.8471068,4.0447952e-07,0.45664954,0.82442755,-0.0119175045,0.41709787,0.77340764,-0.022218676,0.40623164,0.7288936,-0.035926107,0.3937523,0.69168544,-0.048961926,0.4235699,0.65108377,-0.019508667,0.40375912,0.56360006,-0.04315934,0.39139304,0.51320904,-0.057526078,0.3817465,0.46768707,-0.06580109,0.46573955,0.63400835,-0.031009208,0.4361498,0.539168,-0.055594075,0.4077325,0.48499295,-0.07139302,0.38244417,0.44304103,-0.07848089,0.50756365,0.6406299,-0.04367404,0.45305273,0.6279446,-0.076019265,0.43002918,0.68743634,-0.08086011,0.42194158,0.7350352,-0.07484718,0.54109275,0.66905266,-0.05735813,0.48815635,0.70160365,-0.080967665,0.46368974,0.74720407,-0.08073147,0.4564363,0.7793358,-0.07417927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489723,0.313859,0.43635973,0.30766279,0.36421314,0.35792375,0.37863463,0.4407152,0.3464481,0.37480688,0.5431136,0.36986488
