frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.6321575,0.52192926,-7.9515e-07,0.63645107,0.44612175,0.033306703,0.6131221,0.38153568,0.045117,0.5816338,0.343361,0.048415672,0.5483804,0.3439198,0.05306431,0.6159047,0.28693527,0.026685325,0.5216348,0.2907575,0.02195928,0.51208353,0.3456801,0.02037453,0.5270323,0.37883368,0.021707408,0.6061872,0.2962001,0.0048743454,0.5115285,0.31296748,-0.0011273868,0.514202,0.36686778,-0.0008563688,0.52738595,0.39974868,-0.00036766706,0.5878363,0.32197657,-0.015178586,0.504918,0.33259588,-0.019258708,0.5062695,0.3908123,-0.013796706,0.5194737,0.4261419,-0.010453187,0.56446016,0.355454,-0.032759614,0.51363,0.29841834,-0.040736724,0.48600596,0.26211688,-0.04335072,0.46493855,0.22716767,-0.044522654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841702,0.32211238,0.49101543,0.31356126,0.44086275,0.3916372,0.44593066,0.4625178,0.32866955,0.3662017,0.55421174,0.34605378
1,0.63173,0.51585495,-8.357003e-07,0.6361943,0.4401462,0.03596921,0.6150671,0.37486368,0.049345728,0.58461016,0.33444333,0.053447533,0.5520872,0.33674037,0.05766593,0.617545,0.28559092,0.02587333,0.52410996,0.28519988,0.022327201,0.5140632,0.33731383,0.022734832,0.527943,0.3694149,0.025225762,0.60855496,0.29698533,0.003365612,0.5123503,0.3099384,-0.0022090306,0.5141121,0.36435884,-2.1850361e-05,0.52742976,0.39738798,0.0017769339,0.5914573,0.32489023,-0.017011888,0.50750214,0.3324932,-0.021269236,0.51136017,0.38967776,-0.015152784,0.5263843,0.42380896,-0.011516361,0.56944317,0.3614896,-0.034524817,0.51520604,0.30648115,-0.043461975,0.4862623,0.2732454,-0.04640576,0.4646728,0.24089997,-0.04786325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3981548,0.31973213,0.49908042,0.3071211,0.4670687,0.36405367,0.46794966,0.44493526,0.32371926,0.39194316,0.53905654,0.36043626
2,0.6339691,0.5187502,-8.97971e-07,0.6344155,0.44673708,0.041026838,0.6113792,0.38200563,0.05714248,0.58357906,0.34168884,0.06326538,0.5540215,0.33947197,0.06917291,0.6158866,0.2886177,0.031943142,0.52614063,0.2898974,0.030395616,0.5157072,0.34396136,0.02996042,0.52892345,0.37568092,0.031274177,0.60931164,0.29930684,0.0075321775,0.5153128,0.31641525,0.00519702,0.51626736,0.37197885,0.0069978395,0.5282409,0.40506265,0.0077797896,0.59398985,0.3271184,-0.014272452,0.5100322,0.3397417,-0.014615733,0.5119392,0.39876127,-0.007866849,0.52505165,0.43267345,-0.004933283,0.572822,0.3635632,-0.032957684,0.5154188,0.31091332,-0.039731048,0.48601377,0.27735877,-0.04176174,0.46425155,0.2436586,-0.042975564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3949046,0.32388014,0.5008549,0.3235798,0.4534621,0.3905694,0.4540778,0.46300906,0.3302252,0.36933023,0.5540794,0.36358136
3,0.64074814,0.52388716,-8.7616473e-07,0.6407336,0.44999582,0.035925835,0.6160215,0.38238347,0.04927829,0.58509886,0.34176284,0.053415786,0.5515233,0.3422367,0.057617214,0.61569667,0.28956768,0.026200255,0.52134,0.29504296,0.022393964,0.5111429,0.35191825,0.021738311,0.52558637,0.38528934,0.023181781,0.60790545,0.30102515,0.0034416039,0.5124593,0.32217562,-0.0019246525,0.5143349,0.37989184,-0.00048419376,0.52643305,0.41556403,0.0005407842,0.5923227,0.33147362,-0.017123418,0.50715137,0.3463063,-0.02156539,0.50991344,0.40601364,-0.015647363,0.5236426,0.44221282,-0.01222615,0.5715578,0.37123683,-0.034861136,0.5141079,0.32013234,-0.044738047,0.48282754,0.28728852,-0.04815994,0.45984873,0.25507706,-0.049855053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38752258,0.33469027,0.4945292,0.3257301,0.44545144,0.400963,0.45177263,0.47138256,0.3321944,0.37805045,0.5585333,0.35326403
4,0.64126086,0.52633655,-9.0615293e-07,0.642505,0.4455191,0.03831069,0.61949867,0.37899658,0.05266769,0.58970505,0.33918476,0.05754661,0.55693316,0.3407386,0.061928216,0.6161895,0.29008314,0.025254615,0.52146333,0.29684606,0.02110924,0.51166165,0.35417512,0.02024983,0.5262331,0.39218432,0.021380033,0.60825986,0.30067056,0.002288901,0.51227325,0.3223229,-0.0042233164,0.5141982,0.38337737,-0.002798398,0.52668905,0.42455155,-0.001911105,0.59250903,0.3310882,-0.01806872,0.5060646,0.34487405,-0.023536995,0.5094198,0.4067676,-0.018364716,0.52403075,0.4460292,-0.0155724315,0.57118106,0.37021974,-0.035231862,0.5148526,0.3214746,-0.04805656,0.48307624,0.28888115,-0.05428584,0.45832574,0.25660738,-0.058065277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38752258,0.33469027,0.4945292,0.3257301,0.44545144,0.400963,0.45177263,0.47138256,0.3321944,0.37805045,0.5585333,0.35326403
5,0.6314351,0.52625644,-8.814514e-07,0.63648975,0.44476986,0.04148459,0.6143364,0.3812181,0.05697483,0.5863379,0.34366038,0.062040053,0.5551381,0.34644976,0.06641844,0.61324525,0.28856415,0.033532456,0.52191406,0.29608965,0.030979205,0.5142578,0.35026643,0.029093798,0.5296196,0.38348266,0.0293051,0.60569584,0.3005296,0.008938999,0.51125544,0.32047194,0.0053606997,0.51381755,0.37618217,0.0061749327,0.52599865,0.41202652,0.0062144697,0.58986235,0.3309375,-0.013180201,0.50408614,0.3430366,-0.015955295,0.5085764,0.40078634,-0.011226961,0.5233464,0.434946,-0.009261474,0.5693215,0.3693331,-0.03198755,0.5129358,0.32102275,-0.040915787,0.48276162,0.29018942,-0.045192763,0.45933014,0.25771058,-0.0481194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39436495,0.33394235,0.4996689,0.32373017,0.45102462,0.40342242,0.45617273,0.4748454,0.33829993,0.3767457,0.56158584,0.35327375
6,0.6312232,0.5222622,-8.512365e-07,0.6362178,0.44560766,0.03345834,0.61383855,0.3788382,0.046161838,0.5848093,0.33932924,0.05037631,0.5525241,0.34311065,0.054466855,0.6124413,0.28902054,0.023443868,0.5224517,0.29985505,0.020498317,0.5133505,0.35637432,0.019238928,0.527742,0.38983166,0.019777529,0.60366786,0.3004912,0.0030847213,0.5112943,0.32634127,-0.0018317807,0.512153,0.3843576,-0.0006074462,0.52366936,0.42182016,0.00019389541,0.5870826,0.33085236,-0.014984155,0.50366944,0.34818754,-0.019870676,0.5066342,0.40630403,-0.01627618,0.5211315,0.44183892,-0.014220391,0.56578934,0.36932823,-0.030160787,0.51143956,0.32173872,-0.039913725,0.48172316,0.29216868,-0.044346765,0.45955214,0.26270315,-0.046902608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38505578,0.33451205,0.49239206,0.31193745,0.44396517,0.3958748,0.45506197,0.468175,0.33570242,0.3855098,0.5631117,0.33642858
7,0.6319721,0.5205009,-9.060378e-07,0.6375536,0.4500643,0.037594717,0.6124498,0.38440263,0.054218955,0.5814803,0.34647194,0.061550405,0.54743487,0.3510486,0.06904342,0.6118626,0.29029524,0.033265498,0.52305263,0.30113208,0.032749288,0.51662254,0.35759524,0.03321795,0.5322787,0.39130756,0.03518032,0.6056958,0.29989156,0.011111419,0.51314044,0.32641888,0.009604736,0.5161412,0.38342234,0.011503393,0.5275207,0.41867113,0.012733564,0.59094024,0.32754293,-0.008968871,0.5066797,0.34817863,-0.010025689,0.511912,0.40706775,-0.004951982,0.52635705,0.4410979,-0.0026625192,0.5708158,0.36319187,-0.026133318,0.51220727,0.31957293,-0.03370957,0.48107064,0.2927065,-0.036839835,0.45709583,0.26390663,-0.03859163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3853891,0.3442015,0.48682335,0.32381964,0.44577315,0.41073042,0.45536965,0.47478366,0.33335206,0.38374645,0.5490392,0.33612877
8,0.63957787,0.51654935,-9.143297e-07,0.6032815,0.4479686,0.024509273,0.56272966,0.3819487,0.02612284,0.5192208,0.334916,0.021143446,0.48191184,0.30949086,0.019048119,0.6163159,0.2944706,0.0054752417,0.5247987,0.29745764,-0.007058284,0.5203464,0.35905513,-0.010849042,0.536442,0.3885035,-0.012032222,0.62093085,0.30376655,-0.014987576,0.52018183,0.3244307,-0.029051341,0.5211352,0.38353366,-0.027710754,0.53309125,0.41640687,-0.027967418,0.61341393,0.32885104,-0.034133192,0.5184843,0.34841126,-0.043752152,0.5201588,0.41030324,-0.034217007,0.5336797,0.4470214,-0.029835701,0.59822863,0.3606948,-0.051791526,0.5366722,0.33151922,-0.0656674,0.50256884,0.30919477,-0.07079113,0.47663265,0.28407836,-0.074783586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38547152,0.33566564,0.48696452,0.3332482,0.43720317,0.40369314,0.4408223,0.4717834,0.33227393,0.3738497,0.54889715,0.3649128
9,0.63770044,0.5131999,-4.863779e-07,0.5658434,0.48000658,-0.0008311463,0.51795256,0.4176387,-0.0006480728,0.49854013,0.35779226,-0.002783871,0.48720485,0.31290126,-0.0023903116,0.5588552,0.32668942,0.020545535,0.52099365,0.30484912,0.012447737,0.5197172,0.34766492,0.0028161553,0.53090715,0.37859678,-0.0020389112,0.58655953,0.31103987,0.016533853,0.54433906,0.30395398,0.011600349,0.5421785,0.34551975,0.0053970297,0.554589,0.37412554,0.0027815218,0.6126124,0.3091408,0.010410299,0.56945956,0.3042074,0.0064894403,0.56697357,0.34265038,0.008742837,0.57828814,0.36834514,0.011648321,0.63711584,0.3149541,0.0034898885,0.6011194,0.30589676,0.0021901212,0.5961154,0.33586106,0.008781882,0.60437644,0.35941446,0.016349481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38226843,0.3298095,0.48767576,0.31732935,0.43688875,0.39267796,0.44556296,0.4638846,0.33407697,0.3764069,0.5570768,0.3467834
