frame_idx,h1_l0x,h1_l0y,h1_l0z,h1_l1x,h1_l1y,h1_l1z,h1_l2x,h1_l2y,h1_l2z,h1_l3x,h1_l3y,h1_l3z,h1_l4x,h1_l4y,h1_l4z,h1_l5x,h1_l5y,h1_l5z,h1_l6x,h1_l6y,h1_l6z,h1_l7x,h1_l7y,h1_l7z,h1_l8x,h1_l8y,h1_l8z,h1_l9x,h1_l9y,h1_l9z,h1_l10x,h1_l10y,h1_l10z,h1_l11x,h1_l11y,h1_l11z,h1_l12x,h1_l12y,h1_l12z,h1_l13x,h1_l13y,h1_l13z,h1_l14x,h1_l14y,h1_l14z,h1_l15x,h1_l15y,h1_l15z,h1_l16x,h1_l16y,h1_l16z,h1_l17x,h1_l17y,h1_l17z,h1_l18x,h1_l18y,h1_l18z,h1_l19x,h1_l19y,h1_l19z,h1_l20x,h1_l20y,h1_l20z,h2_l0x,h2_l0y,h2_l0z,h2_l1x,h2_l1y,h2_l1z,h2_l2x,h2_l2y,h2_l2z,h2_l3x,h2_l3y,h2_l3z,h2_l4x,h2_l4y,h2_l4z,h2_l5x,h2_l5y,h2_l5z,h2_l6x,h2_l6y,h2_l6z,h2_l7x,h2_l7y,h2_l7z,h2_l8x,h2_l8y,h2_l8z,h2_l9x,h2_l9y,h2_l9z,h2_l10x,h2_l10y,h2_l10z,h2_l11x,h2_l11y,h2_l11z,h2_l12x,h2_l12y,h2_l12z,h2_l13x,h2_l13y,h2_l13z,h2_l14x,h2_l14y,h2_l14z,h2_l15x,h2_l15y,h2_l15z,h2_l16x,h2_l16y,h2_l16z,h2_l17x,h2_l17y,h2_l17z,h2_l18x,h2_l18y,h2_l18z,h2_l19x,h2_l19y,h2_l19z,h2_l20x,h2_l20y,h2_l20z,face_k0x,face_k0y,face_k1x,face_k1y,face_k2x,face_k2y,face_k3x,face_k3y,face_k4x,face_k4y,face_k5x,face_k5y
0,0.72392696,0.40466425,-2.5925576e-07,0.6574372,0.42407936,-0.0070433184,0.58241576,0.49222368,-0.020174338,0.52806073,0.54866683,-0.03244626,0.4781655,0.5630581,-0.048136227,0.565008,0.5292015,-0.0523633,0.56179756,0.66364676,-0.08026716,0.5678981,0.7399462,-0.097771324,0.57496923,0.799422,-0.10996389,0.60375744,0.5354074,-0.06327355,0.60427904,0.68431985,-0.08528219,0.61134124,0.7580095,-0.09337282,0.61339855,0.81301224,-0.10301894,0.64994127,0.53738946,-0.07249878,0.65838903,0.667799,-0.09416135,0.6707912,0.6435707,-0.08350461,0.67358387,0.60680395,-0.07635382,0.6982596,0.54235816,-0.082184725,0.69580543,0.64732534,-0.10356726,0.70486146,0.6264482,-0.09585339,0.70676214,0.59201723,-0.08833921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935572,0.10505919,0.525866,0.113365605,0.42860022,0.15932108,0.43838513,0.26144552,0.4136281,0.18167241,0.65318686,0.21416096
1,0.7528105,0.37881058,-5.7924683e-07,0.6816532,0.4268774,-0.01484919,0.6096849,0.5119425,-0.038912304,0.5522126,0.55519086,-0.05806854,0.49875057,0.5627046,-0.08211291,0.6003875,0.5094328,-0.095181555,0.6274337,0.66819,-0.12589951,0.6595858,0.74587256,-0.14272913,0.68666214,0.803487,-0.15456638,0.6502182,0.48957673,-0.10056191,0.69245666,0.6617893,-0.12482946,0.7162611,0.7519409,-0.13260962,0.7378188,0.8201939,-0.14572519,0.70632195,0.47736585,-0.101104446,0.74120325,0.62124276,-0.11934055,0.74165463,0.62210226,-0.10909215,0.73938817,0.60837376,-0.106335245,0.75858957,0.47749448,-0.10122303,0.77039397,0.5988303,-0.11950714,0.7676519,0.60945815,-0.11064709,0.7607084,0.60553205,-0.10475335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41228357,0.11211787,0.51687586,0.108367994,0.42853695,0.17112584,0.44347358,0.26543874,0.40685666,0.17851107,0.6424102,0.18171282
2,0.75455546,0.38006485,-3.5937572e-07,0.6809462,0.4255669,-0.014275924,0.60839355,0.51176715,-0.03932632,0.55401635,0.5517815,-0.06022458,0.50038177,0.55363894,-0.08657476,0.60170966,0.5127857,-0.09655623,0.6344498,0.666503,-0.12574935,0.66213197,0.74621916,-0.14036399,0.68496615,0.80694747,-0.15191495,0.65321136,0.4920311,-0.10484363,0.69354784,0.6618531,-0.13046847,0.7143101,0.7513152,-0.13753743,0.7333804,0.82087326,-0.15020233,0.7115905,0.4747721,-0.10825687,0.74035966,0.62395805,-0.13014628,0.7375822,0.6044182,-0.11800681,0.7343264,0.57224363,-0.11324781,0.7645633,0.4685875,-0.11108267,0.77100503,0.59125453,-0.13372263,0.76797557,0.5812043,-0.12389172,0.7610074,0.5564776,-0.116751894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41228357,0.11211787,0.51687586,0.108367994,0.42853695,0.17112584,0.44347358,0.26543874,0.40685666,0.17851107,0.6424102,0.18171282
3,0.7644485,0.395957,-2.9658295e-07,0.6951879,0.43902442,-0.0121721355,0.62042224,0.5206191,-0.033859238,0.5619647,0.56135553,-0.052213185,0.5092418,0.5552774,-0.07603399,0.6164869,0.52303314,-0.08545223,0.6399871,0.6815202,-0.11625532,0.66377693,0.7644026,-0.13327439,0.6829387,0.8264051,-0.14523013,0.66989475,0.510895,-0.094402716,0.70029044,0.68551576,-0.12126851,0.7174589,0.7787984,-0.1303434,0.73279095,0.8493865,-0.14232193,0.72819394,0.50139934,-0.099346995,0.7558868,0.6499057,-0.123188004,0.75691646,0.6455786,-0.1153509,0.75330627,0.6271126,-0.11141093,0.7813904,0.50169337,-0.10365544,0.7867974,0.6200913,-0.1259804,0.7861172,0.6151552,-0.118672326,0.7807593,0.59753186,-0.11242415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40787455,0.10925712,0.5165199,0.11347292,0.42414388,0.16943769,0.43463188,0.26648504,0.39787078,0.17785294,0.63693404,0.19990928
4,0.7698044,0.40246442,-2.0873168e-07,0.69985473,0.43696344,-0.0076411697,0.6228543,0.517345,-0.026376773,0.5652416,0.56308585,-0.042567093,0.51506793,0.5600603,-0.06384796,0.61779743,0.53145295,-0.08169366,0.6362222,0.6906862,-0.109689385,0.6570835,0.77395624,-0.12482176,0.6739889,0.83523726,-0.13573033,0.67301285,0.52029777,-0.093037836,0.69639355,0.70175886,-0.11708363,0.7131625,0.8013836,-0.1244383,0.7280976,0.8764583,-0.13518208,0.7328925,0.5121442,-0.09994433,0.75189024,0.6673689,-0.122468285,0.75393414,0.64456636,-0.111345515,0.75331235,0.60585696,-0.10435417,0.78922606,0.5152859,-0.106114544,0.7890814,0.63884354,-0.12717098,0.78864396,0.6208418,-0.116908796,0.7855671,0.58919567,-0.10817416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045411,0.114778,0.51135045,0.11184825,0.42068246,0.16556467,0.43454385,0.26592547,0.39824763,0.19100805,0.6353977,0.19902243
5,0.772737,0.38805532,-7.546445e-08,0.69998175,0.4106024,-0.0030750514,0.62190616,0.4840352,-0.018535258,0.56239605,0.5296752,-0.034338668,0.5107004,0.5161215,-0.053900305,0.60920745,0.5052406,-0.06402227,0.6088776,0.65370595,-0.0943757,0.6148003,0.73426014,-0.11121424,0.61978257,0.79899716,-0.123494364,0.65942144,0.50959545,-0.07950172,0.66021836,0.68810314,-0.10735555,0.6624095,0.7905752,-0.11818059,0.6625085,0.87158036,-0.12886178,0.7190502,0.5128526,-0.0915894,0.7228207,0.6594003,-0.12071312,0.73003256,0.61080706,-0.109353624,0.7304647,0.5593325,-0.09804738,0.77888465,0.52055717,-0.10306262,0.77227044,0.61943877,-0.1305545,0.77455646,0.5775839,-0.12240016,0.77112323,0.5358047,-0.11240195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39932013,0.11183943,0.5113685,0.11039786,0.42037222,0.16343938,0.4330933,0.26572365,0.38854924,0.18973477,0.6335999,0.19980903
6,0.7757402,0.37507167,-1.5386615e-07,0.7033349,0.40305084,-0.006952184,0.6243312,0.4749028,-0.02538516,0.56486726,0.52250725,-0.042615175,0.5143168,0.51893854,-0.06364719,0.61607194,0.50730956,-0.07129069,0.61334157,0.6560115,-0.10245607,0.6225683,0.73860025,-0.121268235,0.6302835,0.8037436,-0.13523994,0.66763604,0.5104723,-0.08503067,0.67116547,0.685031,-0.10951373,0.6776749,0.7794089,-0.117104016,0.68038833,0.8520534,-0.12797868,0.7251477,0.5108358,-0.09574748,0.72817034,0.65925056,-0.11953932,0.7331249,0.6165873,-0.10558987,0.7334501,0.5659039,-0.09649056,0.7810745,0.5135973,-0.106561966,0.77108157,0.61863047,-0.13046955,0.7740676,0.5794888,-0.12025613,0.7734567,0.53647596,-0.11116965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40091512,0.11085664,0.509826,0.110023305,0.41863078,0.15931521,0.431316,0.26141924,0.39296418,0.19059421,0.6330223,0.20244963
7,0.78145504,0.37387452,-4.0707482e-07,0.7070691,0.41949615,-0.0073534558,0.6378417,0.5160577,-0.025405636,0.5860982,0.5803396,-0.04063276,0.53063315,0.58601284,-0.060712337,0.6335034,0.5314799,-0.078889094,0.66246647,0.6921048,-0.10573012,0.6940994,0.77422076,-0.12021329,0.72114444,0.83688915,-0.1302513,0.6897046,0.5202405,-0.088591576,0.72786266,0.68916535,-0.10987195,0.7546986,0.7858966,-0.116180494,0.7793441,0.8602798,-0.1267414,0.7504319,0.5088792,-0.09352914,0.77734715,0.63848424,-0.11054925,0.7763494,0.61739135,-0.09840344,0.77348644,0.58533293,-0.09282779,0.8064817,0.5051649,-0.09780628,0.81251955,0.60843337,-0.11284361,0.811363,0.58983386,-0.099794835,0.8073772,0.5637628,-0.09025967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39985657,0.10638298,0.51155454,0.11385824,0.41738048,0.16087507,0.42671832,0.26033276,0.3877826,0.17860778,0.6310259,0.20649923
8,0.77426994,0.382564,4.066557e-08,0.70502514,0.4179411,-0.0055266954,0.632718,0.50306904,-0.020871922,0.57460433,0.55635756,-0.03580138,0.52483356,0.5505125,-0.054011475,0.62840843,0.52457476,-0.06712836,0.6317522,0.6711078,-0.09366056,0.64160806,0.75152135,-0.10583837,0.6498309,0.8171385,-0.11441245,0.67697453,0.52252513,-0.08042451,0.68343884,0.69537187,-0.10578043,0.6941028,0.79000455,-0.11195561,0.70137376,0.8640286,-0.11836084,0.7325799,0.51790315,-0.09021905,0.74306846,0.6646999,-0.11770151,0.74835575,0.6273874,-0.10610148,0.7490437,0.57977664,-0.093982026,0.78958815,0.51800215,-0.09967524,0.78574604,0.62230814,-0.12348423,0.7868797,0.5911197,-0.11438082,0.7864766,0.5516337,-0.103951246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39912063,0.10811265,0.51151496,0.119837955,0.4146412,0.16326286,0.42243022,0.26474535,0.38719785,0.18090816,0.6320629,0.21863084
9,0.77782065,0.3759356,-1.2917263e-07,0.70657533,0.40688783,-0.0045993454,0.62956744,0.48666722,-0.019391632,0.57359725,0.5447582,-0.033530943,0.52190214,0.5402591,-0.05117583,0.6258424,0.5142158,-0.06478369,0.63135666,0.66724014,-0.09023762,0.64363617,0.74814147,-0.10179119,0.6525146,0.81206703,-0.110179566,0.67696685,0.5126376,-0.078202575,0.6871391,0.6936537,-0.101340994,0.6979964,0.7908451,-0.10690738,0.70491606,0.86388713,-0.11427841,0.7340658,0.50930375,-0.088357165,0.74220335,0.6526507,-0.11387208,0.7460901,0.6174712,-0.102586605,0.7448814,0.5732298,-0.09245717,0.7902187,0.5115999,-0.09789904,0.7808622,0.6153196,-0.120105974,0.7804236,0.58739334,-0.11100656,0.7782419,0.5550767,-0.101820014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39705586,0.11359973,0.5091961,0.11945863,0.41357717,0.1669444,0.4239681,0.26882714,0.3872033,0.18915714,0.6326979,0.21472575
